name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Kingston KVR16E11/8 8 GB,31.34,"3,1600","1,8",3.917,Green,13.75,11
G.Skill Sniper X 16 GB,41.16,"4,3200","2,8",2.572,Black / White,10,16
TEAMGROUP Elite Plus 32 GB,,"5,5600","2,16",,Black,14.286,40
Kingston FURY Beast 16 GB,,"5,6000","1,16",,Black,12,36
Crucial CT12864BA1067 1 GB,,"3,1066","1,1",,Green,13.133,7
Crucial CT2K32G3ELSDQ4186D 64 GB,,"3,1866","2,32",,Blue / Silver,11.79,11
Corsair Vengeance LPX 4 GB,,"4,2400","1,4",,Black / Yellow,12.5,15
Corsair ValueSelect 8 GB,,"3,1600","1,8",,Black / Green,13.75,11
Corsair Vengeance LPX 16 GB,,"4,3200","2,8",,Red,10,16
Crucial Ballistix Sport LT 16 GB,,"4,2400","2,8",,Black / Red,13.333,16
G.Skill Ripjaws V 256 GB,543.88,"4,3200","8,32",2.125,Black,10,16
Thermaltake TOUGHRAM RGB 16 GB,,"4,3600","2,8",,White / Silver,10,18
OLOy MD4U0836180BHKDA 16 GB,,"4,3600","2,8",,Black,10,18
ADATA XPG SPECTRIX D60G 16 GB,,"4,3600","2,8",,White,10,18
Kingston KSM26RS8/16MEI 16 GB,238,"4,2666","1,16",14.875,,14.254,19
OLOy Blade RGB 16 GB,,"5,5600","2,8",,Platinum,12.857,36
G.Skill Ripjaws 32 GB,47.99,"4,3200","2,16",1.5,Black,13.75,22
G.Skill Ripjaws 32 GB,94.99,"5,5600","2,16",2.968,Black / White,14.286,40
G.Skill Ripjaws M5 Neo RGB 64 GB,,"5,6000","2,32",,White,12,36
Corsair Vengeance LPX 64 GB,,"4,4000","4,16",,Black,9,18
Corsair Vengeance RGB 64 GB,194.99,"5,5600","2,32",3.047,Gray,12.857,36
G.Skill Ripjaws S5 32 GB,94.99,"5,5600","2,16",2.968,White,10.714,30
Kingston FURY Renegade Pro 128 GB,603.99,"5,4800","4,32",4.719,Black,15,36
Corsair Dominator Platinum RGB 64 GB,,"4,3600","4,16",,Black,10,18
G.Skill Ripjaws M5 RGB 64 GB,184.99,"5,5600","2,32",2.89,Black,10.714,30
G.Skill Trident Z RGB 16 GB,,"4,3200","2,8",,Black,8.75,14
Kingston FURY Renegade 32 GB,199.28,"5,7600","2,16",6.228,Silver / Black,10,38
Kingston FURY Renegade 48 GB,248.82,"5,7200","2,24",5.184,Silver / Black,10.556,38
TEAMGROUP Xtreem 32 GB,199.99,"5,8000","2,16",6.25,White,9.5,38
Corsair Dominator Platinum RGB 16 GB,109.99,"4,4000","2,8",6.874,White,9.5,19
Acer Predator Hermes RGB 32 GB,,"5,6800","2,16",,Black,9.412,32
G.Skill Ripjaws S5 64 GB,139.99,"5,5600","2,32",2.187,White,16.429,46
Corsair Vengeance LPX 16 GB,,"4,3000","2,8",,White,10,15
G.Skill Trident Z 64 GB,877.11,"4,3200","8,8",13.705,Black / Yellow,10,16
G.Skill Ripjaws V 32 GB,,"4,3600","2,16",,Black,7.778,14
Kingston FURY Beast 8 GB,59.98,"5,4800","1,8",7.497,Black,15.833,38
Kingston FURY Beast RGB 32 GB,169.56,"5,6400","1,32",5.299,White,10,32
Corsair Vengeance Pro 16 GB,,"3,1866","2,8",,Black / Red,9.646,9
G.Skill Ripjaws V 16 GB,,"4,3600","2,8",,Black,8.889,16
Kingston FURY 32 GB,,"4,2400","2,16",,Black / Silver,12.5,15
Crucial Ballistix Sport LT 16 GB,,"4,2666","2,8",,Gray,12.003,16
ADATA XPG GAMMIX D10 16 GB,,"4,2666","2,8",,Black / White,12.003,16
ADATA XPG GAMMIX D10 16 GB,,"4,3200","2,8",,Black / White,10,16
Corsair Vengeance RGB Pro 16 GB,,"4,3600","2,8",,Black,8.889,16
Kingston HyperX Predator 8 GB,,"4,2666","1,8",,Black,9.752,13
G.Skill Ripjaws V 32 GB,229.99,"4,3600","4,8",7.187,Black,10,18
Crucial Ballistix 32 GB,,"4,3600","2,16",,Black,8.889,16
TEAMGROUP T-Force Vulcan TUF Gaming Alliance 16 GB,,"4,3600","2,8",,Black / Gold,10.556,19
TEAMGROUP T-Force Xtreem ARGB 32 GB,,"4,3600","2,16",,White,7.778,14
Corsair Vengeance LPX 16 GB,,"4,5133","2,8",,Black,7.793,20
Kingston Server Premier 16 GB,277.77,"4,2666","1,16",17.361,,14.254,19
Kingston FURY Beast RGB 16 GB,,"4,3600","1,16",,Black,10,18
Timetec PINNACLE Konduit 8 GB,18.99,"4,3200","1,8",2.374,Black,10,16
ADATA XPG LANCER RGB 16 GB,,"5,5600","1,16",,Black,12.857,36
OLOy Blade 16 GB,,"4,3200","2,8",,Black,10,16
Mushkin Redline Lumina White 64 GB,,"5,6400","2,32",,White,9.375,30
Mushkin Redline Lumina 64 GB,,"5,6400","2,32",,Black,9.375,30
Kingston FURY Beast 128 GB,269.83,"4,3600","4,32",2.108,Black,10,18
Corsair Vengeance RGB 64 GB,184.99,"5,5600","2,32",2.89,Black / Gray,14.286,40
Mushkin Enhanced Redline 64 GB,179.99,"5,5600","2,32",2.812,Black,10,28
Patriot Viper Venom RGB 32 GB,186.3,"5,6600","2,16",5.822,Black / White,12.121,40
Kingston FURY Beast RGB 16 GB,70.29,"5,6000","1,16",4.393,White,10,30
G.Skill Trident Z Royal 16 GB,,"4,4600","2,8",,Silver,7.826,18
Corsair Vengeance LPX 32 GB,,"4,3200","2,16",,Black / Yellow,10,16
Kingston HyperX Fury RGB 8 GB,54.99,"4,2666","1,8",6.874,Black,12.003,16
Corsair Vengeance 64 GB,,"5,5600","4,16",,Gray,12.857,36
Crucial CT2K4G4DFS8266 8 GB,34.5,"4,2666","2,4",4.312,Green,14.254,19
Crucial CT51264BD160B 4 GB,11,"3,1600","1,4",2.75,Green,13.75,11
G.Skill Sniper 8 GB,,"3,2400","2,4",,Black / Red,9.167,11
Kingston Server Premier 16 GB,53.99,"4,3200","1,16",3.374,,13.75,22
Lexar Ares RGB 32 GB,,"5,6000","2,16",,Black,11.333,34
TEAMGROUP T-Create Expert 32 GB,82.99,"5,5600","2,16",2.593,Black / Gold,13.571,38
Kingston HyperX Fury 16 GB,,"4,2400","4,4",,Black / Silver,12.5,15
Crucial Ballistix Sport LT 8 GB,,"4,3000","1,8",,Red / Black,10,15
Kingston HyperX Predator 32 GB,,"4,3200","2,16",,Black / Silver,10,16
Kingston HyperX Fury RGB 16 GB,,"4,2666","2,8",,Black,12.003,16
Kingston HyperX Fury RGB 32 GB,,"4,2666","2,16",,Black,12.003,16
ADATA XPG SPECTRIX D41 32 GB,,"4,3200","2,16",,Gray,10,16
Corsair Vengeance LPX 64 GB,,"4,4000","4,16",,Black / Yellow,9,18
TEAMGROUP T-Force Delta RGB 8 GB,,"4,3200","1,8",,White,10,16
Kingston ValueRAM 16 GB,,"4,2666","2,8",,Green,14.254,19
Patriot Signature Line 8 GB,16.99,"4,2666","1,8",2.124,Green,14.254,19
ADATA XPG SPECTRIX D35G RGB 16 GB,,"4,3200","1,16",,White,10,16
TEAMGROUP T-Force Delta RGB 16 GB,,"5,6400","2,8",,White,12.5,40
TEAMGROUP Elite Plus 16 GB,,"5,5600","2,8",,Black,16.429,46
Kingston FURY Impact 32 GB,59.99,"4,3200","2,16",1.875,Black,12.5,20
TEAMGROUP Xtreem ARGB 48 GB,199.99,"5,7200","2,24",4.166,Black,9.444,34
G.Skill Ripjaws S5 64 GB,179.99,"5,5600","2,32",2.812,White,10.714,30
Corsair Dominator Platinum RGB 32 GB,142.99,"5,5600","2,16",4.468,Black / Silver,12.857,36
G.Skill Ripjaws S5 64 GB,149.99,"5,5600","2,32",2.344,Black,12.857,36
TEAMGROUP T-Force Delta RGB 64 GB,164.99,"5,5600","2,32",2.578,Black,13.571,38
TEAMGROUP Elite 8 GB,22.46,"3,1600","1,8",2.808,Black,13.75,11
Thermaltake TOUGHRAM XG RGB 32 GB,304.98,"4,3600","2,16",9.531,White / Silver,10,18
Kingston FURY 32 GB,94.23,"5,5600","1,32",2.945,White,14.286,40
Kingston FURY Beast RGB 32 GB,89.99,"4,3200","1,32",2.812,Black / Silver,10,16
Kingston FURY Renegade 64 GB,,"5,6000","2,32",,Silver / Black,10.667,32
Acer Predator Hermes RGB 64 GB,,"5,6400","2,32",,White,10,32
G.Skill Ripjaws X 32 GB,,"3,1600","4,8",,Black / Red,12.5,10
G.Skill F2-9600CL5D-4GBPI 4 GB,,"2,1200","2,2",,,8.333,5
Mushkin 971130A 1 GB,,400,"1,1",,Black / Green,15,3
Corsair Dominator Platinum 64 GB,,"4,2400","8,8",,Black / Silver,12.5,15
Corsair Vengeance LPX 16 GB,,"4,3000","2,8",,Red,10,15
Corsair Vengeance LPX 16 GB,,"4,3000","1,16",,Black / Yellow,10,15
G.Skill Trident Z RGB 32 GB,,"4,3000","4,8",,Black,10.667,16
G.Skill Ripjaws V 32 GB,,"4,3600","4,8",,Black,8.889,16
ADATA XPG GAMMIX D30 16 GB,,"4,3200","2,8",,,10,16
TEAMGROUP T-Force Vulcan Z 8 GB,22.84,"4,3200","1,8",2.855,Gray,10,16
Kingston FURY Renegade 16 GB,,"4,3200","2,8",,Black,10,16
V-Color Prism Pro 16 GB,,"4,3600","2,8",,Black,10,18
TEAMGROUP T-Force Delta TUF Gaming Alliance RGB 32 GB,,"4,3200","2,16",,Black / Gold,10,16
Silicon Power XPOWER Turbine 8 GB,,"4,3200","1,8",,Blue / Black,10,16
Corsair Dominator Titanium First Edition 64 GB,,"5,6000","2,32",,Gray,10,30
Crucial Pro Overclocking 48 GB,,"5,6000","2,24",,Black,12,36
OLOy ND4U1632161DB1DA 32 GB,,"4,3200","2,16",,Black / Gold,10,16
Klevv CRAS V RGB ROG CERTIFIED 32 GB,,"5,7200","2,16",,White / Black,9.444,34
Crucial CT48G56C46S5 48 GB,,"5,5600","1,48",,Black,16.429,46
Corsair Dominator Platinum RGB 64 GB,206.99,"4,3200","4,16",3.234,Black,10,16
G.Skill Trident Z5 RGB 64 GB,204.99,"5,6000","2,32",3.203,White / Black,10,30
Corsair Vengeance LPX 64 GB,114.99,"4,2400","2,32",1.797,Black / Yellow,13.333,16
G.Skill Trident Z5 RGB 32 GB,,"5,6000","2,16",,Black,12,36
Corsair Vengeance LPX 64 GB,139,"4,2666","4,16",2.172,White,12.003,16
G.Skill Trident Z RGB 64 GB,,"4,3600","4,16",,Black,10,18
Crucial Ballistix RGB 16 GB,132.47,"4,3200","2,8",8.279,Red,10,16
Patriot Viper Elite II 16 GB,,"4,2666","2,8",,Red / Black,12.003,16
Corsair Vengeance RGB RT 64 GB,204.99,"4,3200","4,16",3.203,Black,10,16
TEAMGROUP T-Force DELTAα RGB 32 GB,83.99,"5,6000","2,16",2.625,Black,12.667,38
G.Skill Ares 16 GB,61.07,"3,2400","2,8",3.817,Black / Blue,9.167,11
G.Skill NT 16 GB,,"4,2133","2,8",,Black,14.065,15
Gigabyte AORUS RGB 32 GB,,"5,4800","2,16",,Gray,16.667,40
Corsair Vengeance LPX 16 GB,98.1,"4,2666","2,8",6.131,Red,12.003,16
G.Skill Ripjaws 4 8 GB,34.44,"4,2400","2,4",4.305,Red,12.5,15
G.Skill Trident Z5 RGB 32 GB,,"5,6000","2,16",,Black,13.333,40
G.Skill Trident Z5 32 GB,118.94,"5,6000","2,16",3.717,Silver / Black,13.333,40
Patriot Signature Line 16 GB,23.99,"4,2666","1,16",1.499,Black,14.254,19
Timetec PINNACLE Konduit 8 GB,18.99,"4,3600","1,8",2.374,White,10,18
Thermaltake TOUGHRAM Z-ONE RGB 16 GB,139.98,"4,3600","2,8",8.749,Black,10,18
Crucial Classic 16 GB,,"5,5200","2,8",,Black,16.154,42
Corsair Dominator Platinum 16 GB,,"3,1866","2,8",,Black / Silver,9.646,9
Crucial Ballistix Tactical 16 GB,,"3,1600","2,8",,Black / Yellow,10,8
Corsair ValueSelect 4 GB,,"3,1600","1,4",,Black / Green,13.75,11
GeIL Dragon RAM 32 GB,,"4,2800","2,16",,White / Gold,11.429,16
EVGA SuperSC 16 GB,,"4,3200","2,8",,Black,10,16
Gigabyte AORUS RGB 16 GB,,"4,3200","2,8",,Silver,10,16
Kingston HyperX Fury RGB 16 GB,,"4,2400","1,16",,Black,12.5,15
Patriot Viper 4 Blackout 16 GB,,"4,3200","2,8",,Black,10,16
G.Skill Trident Z Neo 256 GB,625.35,"4,3200","8,32",2.443,Black / Silver,10,16
Samsung SAMSUNG 64GB 288-Pin DDR4 SDRAM ECC DDR4 2933 (PC4 23400) LR DIMM Model M386A8K40CM2-CVF 64 GB,,"4,2933","1,64",,Green / Black,14.32,21
Corsair Vengeance LPX 64 GB,,"4,4000","2,32",,Black,9,18
ADATA XPG SPECTRIX D60G 32 GB,,"4,3600","2,16",,White,10,18
GeIL Orion RGB AMD Edition 16 GB,,"4,3600","2,8",,Gray,10,18
Kingston FURY Beast 16 GB,,"4,2666","1,16",,Black,12.003,16
V-Color Prism Pro 32 GB,,"4,3600","2,16",,White,10,18
G.Skill Ripjaws V 32 GB,,"4,3200","2,16",,Red,10,16
Neo Forza FAYE 32 GB,,"4,3600","2,16",,Black / Silver,10,18
Kingston FURY Beast RGB 16 GB,,"4,3200","2,8",,Black / Silver,10,16
TEAMGROUP Elite 16 GB,22.99,"4,3200","1,16",1.437,Black,13.75,22
Corsair Vengeance RGB 32 GB,119,"5,6000","2,16",3.719,Black / Gray,12,36
GeIL Orion AMD Edition 16 GB,31.99,"4,3600","2,8",1.999,Gray,10,18
G.Skill Trident Z5 RGB 32 GB,92.99,"5,5200","2,16",2.906,White / Black,13.846,36
G.Skill Trident Z5 RGB 48 GB,204.99,"5,7600","2,24",4.271,White / Black,10,38
Crucial CT16G4DFRA266 16 GB,37.9,"4,2666","1,16",2.369,Green,14.254,19
G.Skill Trident Z RGB 16 GB,,"4,4400","2,8",,Black,8.182,18
G.Skill Sniper X 32 GB,72.64,"4,2400","4,8",2.27,Black / White,14.167,17
TEAMGROUP T-Force Delta RGB 16 GB,,"5,6000","2,8",,Black,12.667,38
G.Skill Ripjaws X 16 GB,,"3,2133","2,8",,Black / Red,10.314,11
Kingston FURY Beast RGB 32 GB,94.23,"5,5600","1,32",2.945,Black,14.286,40
TEAMGROUP T-Force Delta RGB 64 GB,,"5,6400","2,32",,Black,10.625,34
G.Skill Ripjaws X 8 GB,25.79,"3,1600","1,8",3.224,Black / Blue,11.25,9
Corsair Vengeance LED 16 GB,,"4,3200","2,8",,Black / White,10,16
G.Skill Trident Z Royal 32 GB,114.36,"4,3200","2,16",3.574,Gold,10,16
Corsair Vengeance 16 GB,54.99,"5,4800","2,8",3.437,Black / White,16.667,40
Thermaltake TOUGHRAM XG RGB D5 32 GB,,"5,5600","2,16",,Blue / White,12.857,36
G.Skill Ripjaws 32 GB,,"4,2133","4,8",,Black / Red,14.065,15
Corsair Vengeance LPX 16 GB,,"4,3000","2,8",,Black / Yellow,10.667,16
Corsair Vengeance LPX 16 GB,73.98,"4,4000","2,8",4.624,Black,9,18
ADATA XPG GAMMIX D45 8 GB,,"4,3600","1,8",,White,10,18
TEAMGROUP Xtreem ARGB 32 GB,199.99,"5,7600","2,16",6.25,Black,9.474,36
Crucial CT2KIT12864AA800 2 GB,24.99,"2,800","2,1",12.495,Green,15,6
G.Skill Value 8 GB,,"3,1600","2,4",,Black,13.75,11
Corsair Vengeance RGB Pro 32 GB,,"4,3466","2,16",,White,9.233,16
Patriot Viper Elite 16 GB,,"4,2666","2,8",,Silver / Black,12.003,16
Corsair Vengeance LPX 16 GB,,"4,3600","2,8",,Black / Yellow,7.778,14
Crucial Ballistix 32 GB,,"4,3600","2,16",,White,8.889,16
Crucial Ballistix RGB 16 GB,,"4,3200","2,8",,White,10,16
Corsair Vengeance RGB Pro 128 GB,,"4,4000","4,32",,Black,9,18
TEAMGROUP T-Force Xtreem ARGB 32 GB,,"4,3600","2,16",,Black / Blue,10,18
Lexar Ares OC 32 GB,,"5,5200","2,16",,Black,14.615,38
TEAMGROUP T-Force Dark Za 16 GB,,"4,3200","2,8",,Black,10,16
G.Skill F4-3200C16Q2-128GTZKW 128 GB,,"4,3200","8,16",,Black / White,10,16
G.Skill F4-3600C17Q2-128GTZSW 128 GB,,"4,3600","8,16",,Gray / White,9.444,17
Patriot Signature Line 16 GB,,"5,5600","2,8",,Black,14.286,40
Thermaltake TOUGHRAM Z-ONE RGB 32 GB,,"5,4800","2,16",,Black,16.667,40
ADATA XPG LANCER RGB 32 GB,,"5,5600","2,16",,White,12.857,36
Crucial CT2K16G64C52CU5 32 GB,,"5,6400","2,16",,Black,16.25,52
Crucial CT2K32G48C40S5 64 GB,153.99,"5,4800","2,32",2.406,Black,16.667,40
Mushkin Redline 64 GB,129.99,"5,4800","2,32",2.031,Black,16.667,40
G.Skill Trident Z5 Neo 32 GB,99.99,"5,5600","2,16",3.125,Black,10.714,30
G.Skill Ripjaws S5 64 GB,142.99,"5,5200","2,32",2.234,White,13.846,36
G.Skill Ripjaws V 32 GB,,"4,4266","2,16",,Black,8.908,19
G.Skill Trident Z RGB 32 GB,,"4,3600","2,16",,Black,9.444,17
G.Skill Trident Z Royal 128 GB,,"4,3600","4,32",,Silver,8.889,16
GeIL Orion RGB AMD Edition 32 GB,49.99,"4,3200","2,16",1.562,Red,10,16
G.Skill Trident Z5 RGB 32 GB,104.99,"5,6000","2,16",3.281,White / Black,10.667,32
TEAMGROUP T-Force Delta RGB 48 GB,209.99,"5,7600","2,24",4.375,Black,9.474,36
Patriot Signature 8 GB,13.98,"3,1600","1,8",1.748,Black,13.75,11
Kingston Server Premier 32 GB,228.76,"5,5200","1,32",7.149,Green / Black,16.154,42
Corsair Vengeance LPX 32 GB,291.81,"4,3200","2,16",9.119,Black / Yellow,10,16
Thermaltake TOUGHRAM XG RGB 16 GB,163.79,"4,4600","2,8",10.237,Black / Silver,8.261,19
Kingston FURY 32 GB,,"5,6000","2,16",,White,13.333,40
TEAMGROUP Xtreem ARGB 48 GB,254.99,"5,7600","2,24",5.312,Black,9.474,36
G.Skill Ripjaws S5 32 GB,95.98,"5,6000","2,16",2.999,White,10.667,32
Crucial CT16G4DFD832A 16 GB,40.22,"4,3200","1,16",2.514,Green / Black,13.75,22
Corsair Dominator Platinum RGB 64 GB,,"4,3600","4,16",,Black,8.889,16
G.Skill Ripjaws S5 48 GB,119.99,"5,5600","2,24",2.5,Black,14.286,40
Kingston FURY Renegade Pro 256 GB,1491.19,"5,5600","8,32",5.825,Black,12.857,36
Kingston FURY Beast 16 GB,74.3,"5,6000","1,16",4.644,White,10,30
Samsung M393A2G40DB0-CPB 16 GB,51.49,"4,2133","1,16",3.218,Black / Green,14.065,15
G.Skill Trident Z 32 GB,99.89,"4,3200","4,8",3.122,Red / Silver,10,16
Corsair Vengeance RGB Pro 32 GB,250,"4,4000","2,16",7.812,Black,9,18
Kingston Fury Renegade RGB 24 GB,118.17,"5,6400","1,24",4.924,Silver / Black,10,32
G.Skill Ripjaws X 16 GB,57.59,"3,1866","2,8",3.599,Black / Red,10.718,10
Samsung M471B5273DH0-CK0 4 GB,9.53,"3,1600","1,4",2.382,Green,13.75,11
Kingston KVR21L15Q4/32 32 GB,,"4,2133","1,32",,Black / Green,14.065,15
Antec Katana RGB 16 GB,97.67,"4,3200","2,8",6.104,Black,10,16
V-Color XSky RGB 32 GB,,"5,6000","2,16",,Black,12,36
Patriot Viper 4 Blackout 32 GB,,"4,3200","2,16",,Black,10,16
Kingston FURY Beast RGB 32 GB,111.52,"5,6000","1,32",3.485,Black,12,36
Kingston FURY Beast 32 GB,130.68,"5,6400","1,32",4.084,White,10,32
Patriot Viper Venom RGB 16 GB,43.99,"5,5200","1,16",2.749,Black / White,13.846,36
Kingston HyperX 16 GB,276.91,"3,1600","4,4",17.307,Blue / Silver,11.25,9
Patriot Viper 3 8 GB,12.99,"3,1600","1,8",1.624,Black / Silver,12.5,10
Kingston HyperX Fury 4 GB,,"3,1600","1,4",,Black,12.5,10
Kingston FURY 16 GB,,"4,2666","2,8",,Black / White,12.003,16
G.Skill Trident Z RGB 64 GB,,"4,3600","4,16",,Black,8.889,16
Crucial Ballistix RGB 32 GB,,"4,3600","2,16",,White,8.889,16
GeIL EVO SPEAR 16 GB,,"4,3200","2,8",,Black,10,16
TEAMGROUP T-Force Vulcan Z 8 GB,22.53,"4,3600","1,8",2.816,Red / Black,10,18
Klevv CRAS X RGB 8 GB,,"4,3200","1,8",,Black,10,16
Klevv CRAS X RGB 16 GB,,"4,3200","1,16",,Black,10,16
Addlink Spider X4 16 GB,,"4,3200","2,8",,Black,10,16
TEAMGROUP T-Force Delta RGB 16 GB,,"4,3200","1,16",,Black,10,16
G.Skill Ripjaws S5 32 GB,,"5,5200","2,16",,Black,10.769,28
ADATA XPG GAMMIX D45 8 GB,,"4,3200","1,8",,Black,10,16
ADATA XPG SPECTRIX D50 32 GB,,"4,3200","4,8",,Black,10,16
OLOy Blade RGB 64 GB,,"5,6400","2,32",,Black,10,32
GeIL Polaris RGB 32 GB,,"5,6000","2,16",,Black,12.667,38
Klevv CRAS V RGB 32 GB,,"5,7600","2,16",,Black,9.474,36
TEAMGROUP T-Force Xtreem 48 GB,,"5,7600","2,24",,Pink,9.474,36
Klevv CRAS V RGB 48 GB,,"5,7200","2,24",,Black,9.444,34
Silicon Power SP032GBSFU320F02 32 GB,45.97,"4,3200","1,32",1.437,,13.75,22
G.Skill Trident Z RGB 128 GB,249.99,"4,3200","4,32",1.953,Black,10,16
TEAMGROUP T-Create Classic 64 GB,155.99,"5,5600","2,32",2.437,Black,16.429,46
Corsair Vengeance RGB Pro 32 GB,121.99,"4,3600","4,8",3.812,Black,10,18
TEAMGROUP T-Force Vulcan Z 32 GB,,"4,3600","2,16",,Red / Black,10,18
TEAMGROUP Xtreem ARGB 32 GB,,"5,6000","2,16",,White,10,30
Corsair Dominator Platinum RGB 32 GB,158.99,"5,6400","2,16",4.968,Black,11.875,38
Corsair Vengeance RGB Pro SL 64 GB,160.99,"4,3200","4,16",2.515,Black,10,16
TEAMGROUP Elite Plus 16 GB,40.99,"5,4800","1,16",2.562,Black,16.667,40
Kingston FURY Beast 16 GB,73.05,"5,6400","1,16",4.566,White,10,32
Crucial CT2KIT204864BF160B 32 GB,299.79,"3,1600","2,16",9.368,Black / Green,13.75,11
Corsair Vengeance RGB 16 GB,,"4,3200","2,8",,Black,10,16
Corsair Dominator Platinum RGB 16 GB,74.98,"4,3200","2,8",4.686,White,10,16
Corsair Vengeance RGB RT 64 GB,170.99,"4,3600","4,16",2.672,Black,10,18
Corsair Vengeance LPX 8 GB,39.98,"4,2400","2,4",4.997,Black / Yellow,12.5,15
Corsair Vengeance RGB Pro 32 GB,269.99,"4,4000","2,16",8.437,Black,9,18
Kingston FURY Renegade Pro 128 GB,894.51,"5,6000","4,32",6.988,Black,10.667,32
Crucial CT2K4G4DFS8213 8 GB,69.98,"4,2133","2,4",8.748,Black / Green,14.065,15
Crucial CT2K16G4RFS4266 32 GB,89.99,"4,2666","2,16",2.812,Green / Black,14.254,19
Kingston FURY 64 GB,218.16,"5,5600","2,32",3.409,White,14.286,40
Corsair Vengeance LPX 16 GB,,"4,2400","2,8",,Red,11.667,14
Crucial CT2K8G4DFS8213 16 GB,99.98,"4,2133","2,8",6.249,Black / Green,14.065,15
Acer Predator Apollo RGB 16 GB,,"4,3600","2,8",,Silver / Black,8.889,16
Kingston FURY Beast 16 GB,,"4,3733","2,8",,Black,10.179,19
Kingston ValueRAM 2 GB,13.48,"2,667","1,2",6.74,Green,14.993,5
Corsair Vengeance LP 32 GB,,"3,1600","4,8",,Black / Yellow,11.25,9
G.Skill Ripjaws X 16 GB,,"3,1866","2,8",,Black / Blue,9.646,9
Kingston KVR13LL9Q4K4/128I 128 GB,,"3,1333","4,32",,Silver,13.503,9
Kingston KVR1333D3N9HK4/32G 32 GB,,"3,1333","4,8",,Green,13.503,9
G.Skill Trident Z 32 GB,,"4,2800","2,16",,Pink / Silver,10,14
G.Skill Aegis 64 GB,,"4,2400","4,16",,Black / Red,12.5,15
TEAMGROUP Vulcan 16 GB,,"4,2400","2,8",,Black / Gray,11.667,14
Kingston HyperX Fury 32 GB,,"4,2666","2,16",,Red / Silver,12.003,16
Samsung M386A8K40BM1-CRC4Q 64 GB,,"4,2400","1,64",,Green / Black,14.167,17
Gigabyte AORUS RGB 16 GB,,"4,4400","2,8",,Black,9.091,20
Apacer AU 16 GB,,"4,3200","1,16",,Black,13.75,22
Silicon Power GAMING 32 GB,,"4,3600","2,16",,Red / Black,10,18
Neo Forza FAYE 8 GB,,"4,3200","1,8",,Silver / Black,10,16
G.Skill Ripjaws V 32 GB,,"4,4600","2,16",,Black,8.261,19
TEAMGROUP T-Force Vulcan Z 32 GB,,"4,4000","2,16",,Gray,9,18
Mushkin Redline 64 GB,,"4,3600","2,32",,White,7.778,14
G.Skill Trident Z5 RGB 64 GB,,"5,6000","2,32",,Black / White,10.667,32
GeIL EVO V RGB 48 GB,,"5,6800","1,48",,White,10.588,36
Netac Shadow II 16 GB,,"4,3200","2,8",,Black,10,16
TEAMGROUP T-Force Vulcan 16 GB,,"5,6000","1,16",,Red,12.667,38
Mushkin Redline ST 32 GB,,"5,6400","2,16",,Black,9.375,30
Kingston FURY Renegade Pro 256 GB,1886,"5,6400","8,32",7.367,Black,10,32
Silicon Power XPOWER Storm RGB 32 GB,,"5,8000","1,32",,White,9.5,38
Corsair Vengeance RGB Pro 128 GB,257.99,"4,3000","4,32",2.016,Black,10.667,16
G.Skill Trident Z Royal 32 GB,,"4,4400","2,16",,Silver,8.636,19
Patriot Viper Venom RGB 32 GB,112.99,"5,7000","2,16",3.531,Black / White,11.429,40
Crucial CT32G56C46S5 32 GB,81.98,"5,5600","1,32",2.562,Black,16.429,46
TEAMGROUP T-Create Expert 32 GB,87.99,"5,6400","2,16",2.75,Black,12.5,40
G.Skill Trident Z RGB 32 GB,,"4,3600","2,16",,Black,8.889,16
Kingston FURY Beast 16 GB,64.98,"5,4800","1,16",4.061,Black / Silver,15.833,38
Silicon Power SP008GLLTU160N02 8 GB,,"3,1600","1,8",,Green,13.75,11
Kingston FURY Renegade Pro 32 GB,203.9,"5,6000","1,32",6.372,Black,10.667,32
Silicon Power XPOWER Storm RGB 32 GB,,"5,6000","2,16",,Black,10,30
Mushkin Essentials 64 GB,100.54,"4,3200","2,32",1.571,Green / Black,13.75,22
Mushkin Redline ST 32 GB,109.99,"5,6400","2,16",3.437,Black,10,32
Kingston FURY Renegade Pro 128 GB,799.02,"5,5600","4,32",6.242,Black,10,28
G.Skill Trident Z Neo 32 GB,,"4,3200","2,16",,Silver / Black,8.75,14
Kingston Fury Renegade RGB 16 GB,124.65,"5,7200","1,16",7.791,Silver / Black,10.556,38
Silicon Power XPOWER Pulse Gaming 32 GB,98.07,"5,5600","2,16",3.065,Black / White,14.286,40
G.Skill NT 8 GB,57,"4,2400","1,8",7.125,Black,12.5,15
Corsair Vengeance LPX 16 GB,125,"4,3200","2,8",7.812,Black,10,16
Kingston FURY Beast RGB 32 GB,,"4,3200","2,16",,Black,10,16
Acer Predator Hermes RGB 32 GB,,"5,6400","2,16",,Black,10,32
Kingston FURY Renegade Pro 256 GB,1526.98,"5,5600","8,32",5.965,Black,10,28
Crucial CT2CP6464AA667 1 GB,,"2,667","2,512",,Green,14.993,5
Corsair Dominator Platinum 8 GB,,"3,2133","2,4",,,8.439,9
Corsair Vengeance LED 64 GB,,"4,3200","4,16",,Black / Blue,10,16
TEAMGROUP Dark Pro 16 GB,,"4,3200","2,8",,Black,8.75,14
Patriot Viper Elite 8 GB,,"4,2400","2,4",,Black / Red,12.5,15
