name,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Logitech M240 Silent,19.99,Optical,Bluetooth Wireless,4000,Both,Pink
Endgame Gear XM2w 4k,,Optical,"Wired, Wireless",26000,Right,Black
Corsair M75,79.99,Optical,Wired,26000,Both,Black
Logitech G300S,,Optical,Wired,2500,Both,Black / Blue
Gigabyte AORUS M4,19.98,Optical,Wired,6400,Both,Black
HP HyperX Pulsefire Raid,,Optical,Wired,16000,Right,Black
Cooler Master MM710 Glossy White,25.7,Optical,Wired,16000,Right,White
Anker AK-98ANWVM-BA,22.99,Optical,Wired,1000,Right,Black
Cooler Master MM831,49.99,Optical,Wireless,32000,Right,Black
Cooler Master MM731,60.6,Optical,Wireless,19000,Right,Black
Logitech M705,54.42,Laser,Wireless,1000,Right,Black
Logitech Signature M650 L,33.49,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Right,Black
Corsair SABRE PRO CHAMPION SERIES,57.33,Optical,Wired,18000,Right,Black
Logitech MX Anywhere 3S,69.98,Laser,"Wired, Wireless, Bluetooth Wireless",8000,Right,Gray
Pulsar X2H Mini,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
Corsair SCIMITAR PRO RGB,,Optical,Wired,16000,Right,Black
SteelSeries Rival 310,,Optical,Wired,12000,Right,Black
BenQ Zowie EC2-B,,Optical,Wired,3200,Right,Black
Cooler Master MM711 Glossy White,42.32,Optical,Wired,16000,Right,White
Asus ROG Strix Impact II,,Optical,Wired,6200,Right,Black
Razer Viper,,Optical,Wired,16000,Both,Pink / Gray
ROCCAT Kone XP Air,,Optical,"Wired, Wireless, Bluetooth Wireless",19000,Right,White
Logitech M220 Silient,12.99,Optical,"Wired, Wireless",1000,Both,Black
Logitech MX Ergo Plus,89.99,Optical,Wireless,440,Right,Black
Razer Viper,69.89,Optical,Wired,16000,Both,White / Gray
Zalman GM3,9.99,Laser,Wired,8200,Right,Black / Silver
Endgame Gear XM1r,160.03,Optical,Wired,19000,Right,Black / Gold
NZXT Lift,54.43,Optical,Wired,16000,Right,Black
Lenovo 06P4069,30.31,Optical,Wired,400,Both,Black
Microsoft Sculpt Ergonomic,76.95,Laser,Wireless,,Right,Black / Blue
Asus ROG GLADIUS II CORE,54.49,Optical,Wired,6200,Right,Black
EVGA X17,39.99,Optical,Wired,16000,Right,Black / Gray
Logitech M500S,29.99,Optical,Wired,4000,Right,Black / Silver
Logitech M190,,Optical,"Wired, Wireless",1000,Both,Black / Gray
BenQ Zowie FK2-DW,149.99,Optical,Wireless,3200,Right,Black / Red
NZXT Lift Elite,79.98,Optical,"Wired, Wireless",26000,Right,Black
NZXT Lift Elite,79.98,Optical,"Wired, Wireless",26000,Right,White
Logitech G600 MMO Gaming Mouse,,Laser,Wired,8200,Right,White / Black
Logitech G700s,,Laser,Wireless,8200,Right,Black
Pulsar X2H,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Razer DeathAdder V2 - Halo Infinite,88,Optical,Wired,20000,Right,Green / Black
Logitech PRO Wireless,,Optical,Wireless,25600,Both,Black
Cooler Master MM720 Matte,56.78,Optical,Wired,16000,Right,Black
MSI CLUTCH,24.99,Optical,Wired,6400,Right,Black
Logitech G Pro Shroud,68.98,Optical,"Wired, Wireless",25600,Both,Black / Blue
Logitech G603,,Optical,Wireless,12000,Right,Black
Cooler Master MM711 Matte White,34.99,Optical,Wired,16000,Right,White
Cooler Master MM311,100,Optical,"Wired, Wireless",10000,Right,Black
Logitech M317 Cotton Candy,19.99,Optical,"Wired, Wireless",1000,Both,Pink / Blue
Logitech M190,14.99,Optical,"Wired, Wireless",1000,Both,Black
Sabrent MS-WRCH,9.99,Optical,Wireless,1600,Right,Black
BenQ Zowie ZA13-DW,149.99,Optical,Wireless,3200,Right,Black / Red
A4Tech D-312,12.99,Optical,Wired,1000,Both,Black
Logitech MX Anywhere 2,79.98,Laser,Wireless,1600,Right,Black / Gold
Corsair SABRE RGB PRO WIRELESS CHAMPION SERIES,,Optical,Wireless,26000,Right,Black
SteelSeries Rival 5 Destiny Edition,88.99,Optical,Wired,18000,Right,White / Silver
Cooler Master MM730,59.99,Optical,Wired,16000,Right,Black
Razer Naga 2014,,Laser,Wired,8200,Right,Black / Green
Asus ROG Chakram X,,Optical,"Wired, Wireless, Bluetooth Wireless",36000,Right,Black
Pulsar X2H Mini,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
ninjutso Sora V2,,Optical,Wireless,26000,Right,White
Logitech ERGO M575S,49.99,Trackball,"Wireless, Bluetooth Wireless",2000,Right,White / Blue
Thermaltake Level 20 RGB,69.98,Optical,Wired,16000,Both,Black
Pulsar X3 Mini,99.95,Optical,"Wired, Wireless",32000,Right,Black
Cooler Master MM730,43,Optical,Wired,16000,Right,White / Gray
HP HyperX Pulsefire Haste 2 Mini,52.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
Logitech MX Ergo,79.95,Optical,Wireless,440,Right,Black
NZXT Lift 2 Symm,20.98,Optical,Wired,26000,Right,White
MSI CLUTCH GM50,99.99,Optical,Wired,7200,Right,Black
Lenovo Legion M500 RGB,18.98,Optical,Wired,,Right,Black
Razer DeathAdder V2 Pro - Genshin Impact Edition,,Optical,"Wired, Wireless, Bluetooth Wireless",20000,Right,Blue / White
Logitech M240 Silent,15.49,Optical,Bluetooth Wireless,4000,Both,White
Kensington Orbit,39.99,Trackball,Wired,,Both,Black
Logitech V470,155.21,Laser,Bluetooth Wireless,,Both,White
Trust GXT 117 Strike,,Optical,Wireless,1400,Both,Black
Cooler Master MM711 Blue Steel,26.99,Optical,Wired,16000,Right,Blue
MSI CLUTCH,49.99,Optical,Wireless,6400,Right,Black
HP 150,,Optical,"Wired, Wireless",1600,Both,Black
HP QY777AA,9.69,Optical,Wired,800,Both,Black
Razer Naga Hex V2,,Laser,Wired,16000,Right,Black / Green
Redragon M801P Sniper Pro,,Optical,Wired,16000,Right,Black
AOC GM500,,Optical,Wired,5000,Both,Black
ROCCAT KONE Pro Air,89.49,Optical,Wireless,19000,Right,Black
Redragon ‎M711-FPS COBRA RGB,,Optical,Wired,24000,Right,Black
Xtrfy M4 RGB,65.78,Optical,Wired,16000,Right,Pink
Pulsar X2V2 Mini,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Logitech M310,14.99,Laser,Wireless,,Both,Silver
Razer Atheris,,Optical,Wireless,7200,Right,Black
Logitech 910-004021,17.36,Laser,Wireless,,Both,Black
Logitech M191 Full-Size,13.87,Optical,Wireless,1000,Both,Black / Gray
Logitech 910-006581,99.99,Laser,"Wired, Wired, Wireless, Bluetooth Wireless",8000,Right,Black
Corsair M75 AIR,89.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Gray
Logitech MX Anywhere 3S,67.98,Laser,"Wired, Wireless, Bluetooth Wireless",8000,Right,Pink
Kensington 64325,72.09,Trackball,Wired,,Both,Black
RIOTORO URUZ Z5 Classic RGB,,Optical,Wired,4000,Right,Black
Cooler Master MM710 Matte Black,57.95,Optical,Wired,16000,Right,Black
ROCCAT Burst Core,24.5,Optical,Wired,8500,Right,Black
Logitech G Pro League of Legends,77.15,Optical,"Wired, Wireless",25600,Both,Black / Gold
DeLUX M800 Ultra,59.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Asus ROG Strix Evolve,69.99,Optical,Wired,7200,Both,Black
ROCCAT Kain 100 Aimo RGB,,Optical,Wired,8500,Right,Black
Zowie ZA13-C,,Optical,Wired,3200,Right,Black
Logitech LIFT,59.99,Optical,"Wireless, Bluetooth Wireless",4000,Left,Black
Sabrent MS-WSML,11.99,Optical,Wireless,1200,Right,Black
Logitech G500s Laser Gaming Mouse,,Laser,Wired,8200,Right,Black / Silver
Perixx PERIMICE-201P B,9.99,Optical,Wired,800,Both,Black / Silver
Zowie FK2,,Optical,Wired,3200,Both,Black / Yellow
Dell MS116,19.99,Optical,Wired,1000,Both,Black
Corsair M65 RGB,,Laser,Wired,8200,Right,Black
Redragon M902,,Laser,Wired,16400,Right,Black / Red
Corsair DARK CORE RGB,,Optical,Wireless,16000,Right,Black
Verbatim 99780 Silent Wireless Blue Led,26.42,Optical,Wireless,,Both,Red / Black
ROCCAT KONE Pure Ultra,84.63,Optical,Wired,16000,Right,Black
Lamzu Atlantis OG,,Optical,"Wired, Wireless",26000,Right,Black
Redragon GAINER M610,,Optical,Wired,3200,Right,Black / Red
Xtrfy M42 RGB,89,Optical,"Wired, Wireless",16000,Right,Black
ADATA XPG PRIMER,27.63,Optical,Wired,12000,Right,Black
Logitech Signature M650 L,34.99,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Left,Black
Logitech ERGO M575S,49.99,Trackball,"Wireless, Bluetooth Wireless",2000,Right,Black / Silver
Logitech M185,13.98,Optical,Wireless,,Both,Gray
Cooler Master MM711 Wilderness Limited Edition,28.95,Optical,Wired,16000,Right,Green
Kensington SureTrack,19.98,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Both,Blue
Logitech PEBBLE 2 M350S,19.99,Optical,"Wired, Wireless, Bluetooth Wireless",1000,Both,Black
Logitech M170,10.99,Optical,"Wired, Wireless",1000,Both,Black
Gigabyte AORUS M2,,Optical,Wired,6200,Both,Black
Cooler Master MM731,58.51,Optical,Wireless,19000,Right,White / Gray
HP HyperX Pulsefire Dart,172.04,Optical,Wireless,16000,Right,Black
VisionTek OCPC MR44,48.37,Optical,Wired,16000,Right,Black / Red
Corsair Vengeance M65,,Laser,Wired,8200,Right,Black
Logitech G400s,,Optical,Wired,4000,Right,Black
Mionix NAOS 7000,,Optical,Wired,7000,Right,Black / Blue
Zowie FK1,,Optical,Wired,2300,Both,Black / Yellow
SteelSeries Rival 500,,Optical,Wired,16000,Right,Black
ROCCAT Kone AIMO,,Optical,Wired,12000,Right,Black
Zelotes T90,,Optical,Wired,9200,Right,Black / Red
Kensington K72359WW,93.51,Optical,Wireless,,Both,Black / Red
Corsair GLAIVE RGB PRO,,Optical,Wired,18000,Right,Black
Zowie S2,,Optical,Wired,3200,Right,Black
UtechSmart Venus Pro RGB,,Optical,Wireless,16000,Right,Black
Pulsar Xlite V2,,Optical,Wireless,20000,Right,White
Logitech M187,14.8,Optical,"Wired, Wireless",1000,Both,Pink / Teal
Logitech M170,12.99,Optical,"Wired, Wireless",1000,Both,Blue / Gray
Logitech MX Anywhere 3S,69.98,Laser,"Wired, Wireless, Bluetooth Wireless",8000,Right,White
GALAX HOF Ace M2,,Optical,"Wired, Wireless",38000,Right,White
Endgame Gear XM1r,29,Optical,Wired,19000,Right,Translucent Black / Black
Asus ROG Strix Carry,89.82,Optical,"Wired, Wireless, Bluetooth Wireless",7200,Right,Black
Mad Catz The Authentic R.A.T 6+,79.98,Optical,Wired,12000,Right,Black
Razer Pro Click Mini,49.74,Optical,"Wireless, Bluetooth Wireless",12000,Right,White / Gray
Asus ROG Keris,39.99,Optical,Wired,16000,Right,Black
Dell MS3320W,16.5,Optical,"Wired, Wireless, Bluetooth Wireless",1600,Both,Black
Cherry MC 1000,14.97,Optical,Wired,1200,Both,Gray
Asus ROG Gladius III,,Optical,Wireless,26000,Right,Black
Logitech Signature M650,34.97,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Right,White
Pulsar X2H eS,,Optical,"Wired, Wireless",26000,Right,Black / Red
Mad Catz R.A.T. Air,214.99,Optical,"Wired, Wireless",12000,Right,Black
Logitech M305,159.97,Optical,Wireless,1000,Both,Black / Purple
Cooler Master Mizar,120.17,Laser,Wired,8200,Right,Black
Verbatim 99769 Silent Wireless Blue Led,14.95,Optical,Wireless,,Both,Black
ROCCAT KONE Pure Ultra,55.19,Optical,Wired,16000,Right,White
Cooler Master MM720 Glossy,,Optical,Wired,16000,Right,White
GAMDIAS ZEUS E2,,Optical,Wired,3200,Right,Black
Logitech POP Cosmos,27,Optical,"Wireless, Bluetooth Wireless",4000,Both,Purple
HP 200,12.99,Optical,"Wired, Wireless",1000,Both,Black / Silver
Logitech M170,12.99,Optical,"Wired, Wireless",1000,Both,Pink
Endgame Gear OP1,64.98,Optical,Wired,26000,Right,White
Logitech G9x,,Laser,Wired,5700,Right,Black
Logitech 910-000806,199.98,Trackball,Wired,,Both,Gray
Apple MB829LL/A,,Laser,Bluetooth Wireless,,,White
HP EY703AA,11.99,Optical,Wired,400,,Black
Belkin F5M010QBLK,8.99,Optical,Wired,800,Both,Black
Cobra cobra II,,Optical,Wired,1600,Right,Multicolor
ROCCAT Kone XTD,,Laser,Wired,8200,Right,Black / Silver
Razer Taipan,146.47,Laser,Wired,8200,Both,Black / White
Razer Diamondback,,Laser,Wired,16000,Both,Black
Dell WM126,14.99,Optical,Wireless,1000,Both,Black
Corsair Sabre RGB,,Optical,Wired,10000,Right,Black
Zowie EC1-A,,Optical,Wired,3200,Right,Black
Zowie EC2-A,,Optical,Wired,3200,Right,Black
Logitech MX MASTER 2S (White),,Laser,Wireless,4000,Right,White
Logitech G703 (White),,Optical,Wireless,12000,Right,White
Asus ROG Gladius II Origin,,Optical,Wired,12000,Right,Black
Glorious MODEL O GLOSSY,,Optical,Wired,12000,Right,Black
Logitech M325c Triple Scoop Ice Cream Cone,17.8,Optical,Wireless,1000,Both,Red / White
Verbatim 70243,16.39,Laser,Wireless,1600,Right,Red / Black
Tempest MS100 Paladin,,Optical,Wired,16000,Both,Black / Red
Glorious Model I,,Optical,Wired,19000,Right,White / Red
Keychron M3,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
Logitech POP Blast,27.89,Optical,"Wireless, Bluetooth Wireless",4000,Both,Yellow / Black
Kensington SureTrack,,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Both,White
Logitech M325S,19.98,Optical,"Wired, Wireless",1000,Both,Black
Logitech MX ANYWHERE 2S,,Laser,"Wired, Wireless, Bluetooth Wireless",4000,Right,Black
Logitech MX Anywhere 3S for Business,89.99,Laser,"Wired, Wireless, Bluetooth Wireless",8000,Right,Gray
YEYIAN Sabre 1002,15.99,Optical,Wired,3200,Right,Black
Kensington SureTrack,11.99,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Both,Red
Glorious MODEL D GLOSSY,24.99,Optical,Wired,12000,Right,Black
HP HyperX Pulsefire Haste 2,49.99,Optical,Wired,3200,Right,White
EVGA X20,43.98,Optical,"Wired, Wireless, Bluetooth Wireless",16000,Right,Gray / Black
Logitech M330 SILENT PLUS,19.48,Optical,Wireless,1000,Right,Gray / Yellow
Mad Catz The Authentic R.A.T. 2+,38.06,Optical,Wired,5000,Both,Black
Tempest MS-200 Ninja,,Optical,Wired,2400,Right,Black
Logitech ERGO M575S,49.99,Trackball,"Wireless, Bluetooth Wireless",2000,Right,Black / Blue
Pulsar X3,,Optical,"Wired, Wireless",32000,Right,Black
Microsoft P58-00061,34.9,Optical,Wired,800,Both,Black
Razer Naga 2014 Left-Handed Edition,188.65,Laser,Wired,8200,Left,Black
UtechSmart US-D5700-GM,32.99,Laser,Wired,5700,Right,Multicolor
Adesso iMouse S80B,16.98,Optical,Wireless,1600,Right,Black
Xtrfy M4 RGB,,Optical,Wired,16000,Right,Black
Cooler Master MM720 Matte,59.99,Optical,Wired,16000,Right,White
Endgame Gear XM1 RGB,40.98,Optical,Wired,16000,Right,White / Black
ROCCAT KONE Pro,52.37,Optical,Wired,19000,Right,White
Xtrfy M42 RGB,,Optical,"Wired, Wireless",16000,Right,Black
Logitech PEBBLE 2 M350S,19.98,Optical,"Wired, Wireless, Bluetooth Wireless",1000,Both,Pink
Corsair M75 AIR Launch Edition,99.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Yellow
Logitech ERGO M575S,49.99,Trackball,"Wireless, Bluetooth Wireless",2000,Right,White / Silver
Razer Dragon Age II DeathAdder,,Optical,Wired,3500,Right,Black
Logitech M310,14.99,Laser,Wireless,,Both,Blue
Kensington K72369US,20.73,Optical,Wired,,,Black
Linkworld LM5035-PS2-c228,,Optical,Wired,800,Both,Black / Silver
Logitech MX518,,Optical,Wired,1800,Right,Black / Silver
Ergoguys 0090-0030,92.95,Optical,Wired,400,Right,White
Corsair M65 RGB,,Laser,Wired,8200,Right,Black
Cooler Master Storm Reaper,,Laser,Wired,8200,Right,Black / Silver
SteelSeries Rival 300,146.47,Optical,Wired,6500,Right,Silver
SteelSeries Rival 300,,Optical,Wired,6500,Right,Black
ROCCAT Nyth,,Laser,Wired,12000,Right,White
Zowie ZA12,,Optical,Wired,3200,Both,Black
SHARKOON SHARK Force,,Optical,Wired,1600,Right,Black
SteelSeries Rival 700,,Optical,Wired,16000,Right,Black
Asus ROG Gladius II,,Optical,Wired,12000,Right,Black
Corsair GLAIVE RGB,,Optical,Wired,16000,Right,Black
Razer Lancehead Tournament Edition Mercury,151.21,Optical,Wired,16000,Both,White / Gray
Logitech M185R,13.94,Optical,Wireless,1000,Both,Red / Black
ADATA XPG INFAREX M20,,Optical,Wired,5000,Right,Black
V7 MU200-1N,,Optical,Wired,1600,Both,Black
ROCCAT Kain 120 Aimo RGB,,Optical,Wired,16000,Right,Black
Asus ROG Chakram Core,,Optical,Wired,16000,Right,Black
Acer Predator Cestus 330,60.8,Optical,Wired,16000,Right,Black
Asus P705 ROG PUGIO II,,Optical,Wireless,16000,Right,Black
Microsoft Pro Intellimouse,,Optical,Wired,16000,Right,Black / Gray
3Dconnexion CadMouse Pro,,Optical,Wireless,7200,Left,Black
Razer Viper Ultimate w/Dock,,Optical,Wireless,20000,Both,Yellow / Black
HP HyperX Pulsefire Haste,49.99,Optical,Wired,16000,,Black / Red
Asus ROG Keris Wireless EVA Edition,,Optical,Wired,,Both,Black / Purple
Xtrfy M4 RGB,69.98,Optical,"Wired, Wireless",16000,Right,White
Pulsar X2 Mini,,Optical,"Wired, Wireless",26000,Right,White
Logitech G Pro X Superlight,,Optical,"Wired, Wireless",25600,Right,Yellow / Black
Asus ROG Keris,,Optical,"Wired, Wireless, Bluetooth Wireless",16000,Right,Black
Asus ROG Strix Impact II,,Optical,Wired,6200,Right,White
HP 235,24.79,Optical,"Wired, Wireless",1600,Both,Black
Mad Catz R.A.T. 8+,,Optical,Wired,16000,Right,White / Black
MSI Clutch GM11,,Optical,Wired,5000,Right,White
MSI Clutch GM51 Lightweight,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Endgame Gear XM2 8k Dark Frost,102.59,Optical,Wired,26000,Right,Black / Gray
Glorious MODEL D GLOSSY,39.07,Optical,Wired,12000,Right,White
Logitech Rose Signature M550,24.99,Optical,Bluetooth Wireless,4000,Both,Pink
Targus AMU81USZ,10.99,Optical,Wired,1000,,Black
Adesso iMouse M20B,17.98,Optical,Wireless,1600,Right,Black
ADATA XPG SLINGSHOT,41.16,Optical,Wired,12000,Right,Black
A4Tech D-120,7.99,Optical,Wired,1000,Both,Black / Silver
Logitech ERGO M575,44.99,Optical,"Wired, Wireless, Bluetooth Wireless",2000,Right,White / Blue
Logitech M325,18.1,Optical,Wireless,,Both,Blue
Evoluent VMDSW Vertical Mouse D Small,114.95,Laser,Wireless,1600,Right,Black
Razer Mamba Gears of War 5,81,Optical,"Wired, Wireless",16000,Right,Gray / Black
Adesso iMouse M60,11.69,Optical,"Wired, Wireless",1200,Both,Black
Logitech M317 Chirpy Bird,14.88,Optical,Wired,1000,Both,Pink / Green
Microsoft L2 Wireless Mouse 5000,139.99,Optical,Wireless,,Both,Black
Kensington Pro Fit Wired Mid-Size Mouse USB,20.94,Laser,Wired,,Right,Black
Trust GXT 158,,Laser,Wired,5000,Both,Black
Corsair GLAIVE RGB Aluminum,,Optical,Wired,16000,Right,Black
Verbatim 99790,8.99,Optical,Wired,,Both,Black
Verbatim 99781 Commuter,9.99,Optical,Wireless,,Both,Purple
Dell MS3220,16.5,Laser,Wired,3200,Right,Black
Kensington SureTrack,33.75,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Both,Gray
Logitech M220 Silient,12.99,Optical,"Wired, Wireless",1000,Both,Pink
Logitech G500,,Laser,Wired,5700,Right,Black / Silver
Logitech G700,,Laser,Wireless,5700,Right,Black
Gigabyte GM-M6800,,Optical,Wired,1600,Right,Black
Razer ABYSSUS,,Optical,Wired,3500,Both,Black
Razer Naga,,Laser,Wired,5600,Right,Black
Microsoft MHC-00001,,Optical,Wireless,,Both,Black
Logitech M110,,Optical,Wired,,Both,Black
Kensington K72370US,19.98,Optical,Wireless,,,Black
Razer DeathAdder,,Optical,Wired,3500,Right,Black
Sony VGPWMS30/W,,Laser,Wireless,800,,White
Adesso HC-3003US,7.98,Optical,Wired,1000,Both,Black
Adesso GP-160UB,49.66,Touchpad,Wired,,Both,Black
Razer Taipan,,Laser,Wired,8200,Both,Black
IBM 40K9200,,Optical,Wired,,Both,Black / Red
SteelSeries Sensei,,Laser,Wired,11400,Both,Gray
A4Tech G9-370HX-1,14.99,Optical,Wireless,,Both,Black
Razer RZ01-00770100-R3A1,,Laser,Wireless,8200,Both,Black / Green
HP X500,,Optical,Wired,,Both,Black
Logitech M310,14.99,Laser,Wireless,,Both,Black / Blue
Corsair M65 RGB,,Laser,Wired,8200,Right,White
Adesso IMOUSEG1,9.99,Optical,Wired,2400,Both,Black / Blue
Logitech M320,39.99,Optical,Wireless,1000,Both,Red
Logitech G303 Daedalus Apex,,Optical,Wired,12000,Right,Black / Orange
G.Skill RIPJAWS MX780,,Laser,Wired,8200,Both,Black
Logitech M185,25.19,Optical,Wireless,1000,Both,Black
Corsair SABRE RGB,,Laser,Wired,8200,Right,Black
SteelSeries Rival 100,,Optical,Wired,4000,Right,Black / Orange
SteelSeries Rival 100,,Optical,Wired,4000,Right,Gold
Razer Lancehead Tournament Edition,,Optical,Wired,16000,Both,Black / Green
Asus ROG Pugio,,Optical,Wired,7200,Both,Black
Swiftpoint Z Gaming,,Optical,Wired,12000,Right,Black
Cooler Master MasterMouse MM530,,Optical,Wired,12000,Right,Black
Razer Basilisk Essential,,Optical,Wired,6400,Right,Black
Razer Lancehead Tournament Edition,,Optical,Wired,16000,Both,Gray
Razer Deathadder Elite Destiny 2 Edition,,Optical,Wired,16000,Right,Black / White
Logitech G703,,Optical,Wireless,12000,Right,Black
GameMax Strike,,Optical,Wired,3200,Right,Black
Logitech MX Master 3,,Laser,Wireless,4000,Right,Black
Logitech MX Master 3,,Laser,Wireless,4000,Right,Silver
Trust GXT 101D GAV,,Optical,Wired,4800,Right,Green / Black
Verbatim 99767 Commuter,12.61,Optical,Wireless,,Both,Red / Black
Verbatim 98618 Mini Travel Mouse Commuter,8.99,Optical,Wired,,Both,Pink
Redragon MIRAGE,,Optical,Wireless,4800,Right,Red / Black
Logitech PEBBLE M350,27.7,Optical,Bluetooth Wireless,1000,Both,Pink
Adesso iMouse M6-TAA,10.49,Optical,Wired,1000,Both,Black
Zelotes C-18,,Optical,Wired,10000,Right,Black
HAVIT HV-MS735,,Optical,Wired,12000,Right,Black
ROCCAT Burst Core,,Optical,Wired,8500,Right,White
Mad Catz ‎R.A.T Pro X3 Supreme Limited Edition,,Optical,Wired,16000,Right,Black / Gold
Pulsar Xlite V2,,Optical,Wireless,20000,Right,Black
Xtrfy M4 RGB,69,Optical,Wired,16000,Right,Red / Black
Logitech ‎MX Master 3 for Mac,,Optical,"Wireless, Bluetooth Wireless",4000,Right,Black / Gray
Lamzu Atlantis OG,,Optical,"Wired, Wireless",26000,Right,Green / Gold
Pulsar X2,,Optical,"Wired, Wireless",26000,Right,Black
Logitech M650 L LEFT,,Optical,"Wireless, Bluetooth Wireless",4000,Left,White / Gray
Pulsar X2V2,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
Deepcool MC310,,Optical,Wired,12800,Right,Black
Asus TUF GAMING M5,,Optical,Wired,6200,Right,Black
Kensington Orbit,49.99,Optical,"Wired, Wireless, Bluetooth Wireless",1600,Both,White
Targus AMB581GL,24.45,Optical,Bluetooth Wireless,,Both,Black
Kensington SlimBlade Pro,104.54,Optical,"Wired, Wired, Wireless, Bluetooth Wireless",,Both,Black / Red
Lenovo Go,57.99,Optical,"Wired, Wireless",2400,Right,Black / Brown
Logitech M187,12.48,Optical,"Wired, Wireless",1000,Both,Teal / Blue
Logitech M325S,23.98,Optical,Wired,1000,Both,Purple
Logitech M325S,19.99,Optical,"Wired, Wireless",1000,Both,Gray / Black
Logitech Lift for Business,62.9,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Right,White
Microsoft 222-00017,,Optical,"Wired, Wireless, Bluetooth Wireless",2400,Right,White
YEYIAN Links 3000,,Optical,Wired,7200,Right,Black
YEYIAN Claymore 2001,,Optical,Wired,12000,Right,Black
DeLUX M800 Ultra,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Blue
Logitech Signature M650 L,39.22,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Right,White
Glorious MODEL O GLOSSY,109,Optical,Wired,12000,Right,White
HP OMEN Reactor,49.99,Optical,Wired,16000,Right,Black / Red
Perixx PERIMICE-517,30.13,Trackball,Wired,1000,Left,Black
Logitech PEBBLE 2 M350S,19.98,Optical,"Wired, Wireless",1000,Both,White
Endgame Gear XM1 RGB,29.99,Optical,Wired,16000,Right,Translucent Black / Black
Endgame Gear XM2 8k,84.99,Optical,Wired,26000,Right,White
Cooler Master CM Storm Spawn,40.42,Optical,Wired,3500,Right,Black / Red
Evoluent VerticalMouse 4 Right,109.95,Laser,Bluetooth Wireless,,Right,White
Logitech M535,24.49,Optical,Bluetooth Wireless,,Both,Blue
Logitech ERGO M575,49.99,Optical,"Wired, Wireless, Bluetooth Wireless",2000,Right,Gray / Blue
Razer Basilisk,,Optical,Wired,16000,Right,
Logitech Graphite Signature M550,24.99,Optical,Bluetooth Wireless,4000,Both,Gray
Lenovo 4Y51J62544,38.29,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Right,Black
Logitech Lift for Business,62.99,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Left,Black
Endgame Gear XM2w 4k,,Optical,Wireless,26000,Right,Black / Gray
HP GW405AT,18.98,Laser,Wired,,,Black
Cherry M-4230,175.26,Optical,Wired,800,Both,Black / Silver
Microsoft U7Z-00001,34.85,Laser,Wireless,,Both,Black
Mad Catz The Authentic R.A.T PRO S3,72.98,Optical,Wired,7200,Right,Black
Logitech M170,12.99,Optical,"Wired, Wireless",1000,Both,Blue / Black
Logitech M510,49.95,Laser,Wireless,1000,Right,Blue
Deepcool MG350,,Optical,Wired,16000,Right,Black / Cyan
HP 430,29.99,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Right,Black
Targus AMW584GL,32.79,Optical,Wireless,,Right,Black / Gray
Logitech M317 Forest Flora,19.98,Optical,"Wired, Wireless",1000,Both,Blue / Pink
Logitech M187,12.95,Optical,"Wired, Wireless",1000,Both,Blue / Teal
Logitech Signature M650 L,,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Left,White
YEYIAN Sabre 1001,15.99,Optical,Wired,3200,Right,Black
YEYIAN Shift,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Endgame Gear XM2 8k White Frost,85.28,Optical,Wired,26000,Right,White / Gray
Razer Naga Epic,,Laser,Wireless,5600,,Black
Razer Mamba 2012 Elite,,Laser,Wireless,6400,Right,Black
Logitech LS1,36.98,Laser,Wired,,Both,Black
V7 M30P20-7N,,Optical,Wired,1000,Both,Black
Microsoft Basic,,Optical,Wired,,Both,Black
Logitech M305,89.99,Optical,Wireless,1000,Both,Black / White
HP RH304AA,,Optical,Wired,,Both,Black
Logitech Wireless Mouse M525,44.99,Optical,Wireless,,Both,Black / Gray
Dell 468-7409 Mouse,,Optical,Wired,,Both,Black
Dell 468-7410 Mouse,,Optical,Bluetooth Wireless,,Both,Black / Silver
