name,price,capacity,price_per_gb,type,cache,form_factor,interface
ADATA SU800,,128,,SSD,,2.5,SATA 6.0 Gb/s
KingSpec P3,,2000,,SSD,,2.5,SATA 6.0 Gb/s
MSI SPATIUM S270,34.97,480,0.073,SSD,,2.5,SATA 6.0 Gb/s
Addlink S70,54.44,1000,0.054,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate Barracuda Compute,49.99,1000,0.05,5400,64,3.5,SATA 6.0 Gb/s
Toshiba HDD2K12,,750,,5400,8,2.5,SATA 3.0 Gb/s
Samsung PM961,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
SK Hynix Gold S31 500,,500,,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Red SN700,349.99,4000,0.087,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue SN550,199.99,2000,0.1,SSD,,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM M390,79.95,1000,0.08,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate Exos 7E10 512e/4Kn,219.99,8000,0.027,7200,256,3.5,SATA 6.0 Gb/s
Western Digital Red SN700,105.74,1000,0.106,SSD,,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM M482 Eco-Pack,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Gigabyte AORUS Gen4,,500,,SSD,512,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 Force Series Gen4,,500,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,90.68,3000,0.03,5400,64,3.5,SATA 6.0 Gb/s
Seagate FireCuda 530,84.12,500,0.168,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 850 Evo,254.99,2000,0.127,SSD,,2.5,SATA 6.0 Gb/s
FanXiang S101,29.99,512,0.059,SSD,,2.5,SATA 6.0 Gb/s
Silicon Power XS70,379.57,4000,0.095,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Ultrastar DC HC550,384.99,18000,0.021,7200,512,3.5,SATA 6.0 Gb/s
Corsair MP600 ELITE w/Heatsink,156.99,2000,0.078,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 960 Pro,399.99,1000,0.4,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
Crucial P5,,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
PNY CS900,42,120,0.35,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP QX,,15300,,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP T-FORCE Z44A7,,4000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
ADATA Ultimate SU650,50.71,480,0.106,SSD,,2.5,SATA 6.0 Gb/s
Corsair MP510,,240,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial MX100,,256,,SSD,,2.5,SATA 6.0 Gb/s
Gigabyte AORUS Gen4,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
ADATA XPG SPECTRIX S40G RGB,,2000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Inland Professional,59.99,1000,0.06,SSD,,2.5,SATA 6.0 Gb/s
Seagate Constellation ES.3,89,4000,0.022,7200,128,3.5,SAS 6.0 Gb/s
Corsair MP600 MICRO,174.99,2000,0.087,SSD,,M.2-2242,M.2 PCIe 4.0 X4
Western Digital Red,271.5,8000,0.034,5400,128,3.5,SATA 6.0 Gb/s
Sabrent Rocket 4.0,,500,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
ADATA XPG GAMMIX S50 Core,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf NAS,399.99,16000,0.025,7200,256,3.5,SATA 6.0 Gb/s
MSI SPATIUM M370,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
FanXiang S101,15.99,128,0.125,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Black SN750,,250,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP600 PRO LPX,369.99,4000,0.092,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial MX300,179.99,275,0.655,SSD,,2.5,SATA 6.0 Gb/s
Seagate FireCuda 520,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital PC SN730,69.98,256,0.273,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP34,,4000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial P2,,250,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
KIOXIA EXCERIA PLUS G4,,2000,,SSD,,M.2-2280,M.2 PCIe 5.0 X4
TEAMGROUP T-FORCE Z44A7,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP700 PRO w/Heatsink,154.99,1000,0.155,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 860 Pro,430,2000,0.215,SSD,2048,2.5,SATA 6.0 Gb/s
KingSpec NX-2280,,2000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-FORCE Z44A7,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red SA500,214.99,2000,0.107,SSD,,2.5,SATA 6.0 Gb/s
Crucial BX500,46.99,120,0.392,SSD,,2.5,SATA 6.0 Gb/s
Kingston SSDNow UV400,,120,,SSD,,2.5,SATA 6.0 Gb/s
Seagate Exos X24,378.49,20000,0.019,7200,512,3.5,SATA 6.0 Gb/s
Western Digital Gold,379.99,18000,0.021,7200,512,3.5,SATA 6.0 Gb/s
Hitachi Ultrastar,,2000,,7200,32,3.5,SATA 3.0 Gb/s
Hitachi HDS723030ALA640,70,3000,0.023,7200,64,3.5,SATA 6.0 Gb/s
Timetec PINNACLE SD1-INDEX,59.99,1000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red,329.45,10000,0.033,5400,256,3.5,SATA 6.0 Gb/s
KIOXIA EXCERIA,79.5,500,0.159,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Gigabyte AORUS Gen4,149,1000,0.149,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red,,4000,,5400,64,3.5,SATA 6.0 Gb/s
Seagate BarraCuda Pro,,4000,,7200,128,3.5,SATA 6.0 Gb/s
MSI SPATIUM S270,41.74,240,0.174,SSD,,2.5,SATA 6.0 Gb/s
Verbatim Vi550,23.24,256,0.091,SSD,,2.5,SATA 6.0 Gb/s
Integral V Series 2,,1000,,SSD,,2.5,SATA 6.0 Gb/s
Western Digital WD_BLACK SN770M,99.99,1000,0.1,SSD,,M.2-2230,M.2 PCIe 4.0 X4
Western Digital Red SA500,84.99,1000,0.085,SSD,,2.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,210.9,10000,0.021,7200,256,3.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,46.99,500,0.094,7200,64,3.5,SATA 6.0 Gb/s
Western Digital Red,320,12000,0.027,5400,256,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,,250,,7200,16,3.5,SATA 6.0 Gb/s
Western Digital Blue,27,500,0.054,7200,32,3.5,SATA 6.0 Gb/s
TEAMGROUP Cardea Zero Z440 Graphene,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston SSDNow S100,,16,,SSD,,2.5,SATA 3.0 Gb/s
Seagate ST2000DM002,,2000,,7200,64,3.5,SATA 6.0 Gb/s
Seagate BarraCuda 120,,1000,,SSD,,2.5,SATA 6.0 Gb/s
Western Digital WD_BLACK SN850P for PS5,179.99,2000,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4
PNY CS1031,,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP600 PRO LPX,99.99,1000,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,220,2000,0.11,SSD,,M.2-2280,M.2 SATA
Toshiba N300,357,8000,0.045,7200,256,3.5,SATA 6.0 Gb/s
KingSpec NXM,35.99,512,0.07,SSD,,M.2-2242,M.2 PCIe 3.0 X4
ADATA XPG SX6000 Pro,59.99,512,0.117,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Inland Professional,23.99,256,0.094,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Caviar Black,,1000,,7200,64,3.5,SATA 6.0 Gb/s
Sabrent Rocket,,2000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston A400,,240,,SSD,,M.2-2280,M.2 SATA
TEAMGROUP T-Force Cardea A440 Pro,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
ADATA LEGEND 970,250.01,2000,0.125,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Corsair MP600 GS,164.99,2000,0.082,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate ST500VT000,,500,,5400,16,2.5,SATA 3.0 Gb/s
Western Digital Blue SN500,88,500,0.176,SSD,,M.2-2280,M.2 PCIe 3.0 X2
KIOXIA EXCERIA PLUS G4,,1000,,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Sabrent Rocket Q,,2000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 840 Evo,,1000,,SSD,,2.5,SATA 6.0 Gb/s
MyDigitalSSD Super Boot Drive,,8,,SSD,,M.2-2242,M.2 SATA
Samsung 750 Evo,,500,,SSD,512,2.5,SATA 6.0 Gb/s
ADATA LEGEND 800 GOLD,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
KIOXIA EXCERIA G2,,2000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP CX1,15.99,240,0.067,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Caviar Blue,20.98,500,0.042,5400,8,2.5,SATA 6.0 Gb/s
Western Digital Black,153.88,512,0.301,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston SSDNow V200,79.98,128,0.625,SSD,,2.5,SATA 6.0 Gb/s
Western Digital WD_BLACK SN770M,177.89,2000,0.089,SSD,,M.2-2230,M.2 PCIe 4.0 X4
Western Digital Gold,219.99,6000,0.037,7200,256,3.5,SATA 6.0 Gb/s
FanXiang S500 Pro,125.99,2000,0.063,SSD,,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM S270,,960,,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Gold,229.45,4000,0.057,7200,256,3.5,SATA 6.0 Gb/s
Crucial MX500,,500,,SSD,,M.2-2280,M.2 SATA
Intenso 3812430,18.76,128,0.147,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Black AN1500,,1000,,SSD,,PCIe,PCIe x8
Netac NV7000-t,77.98,1000,0.078,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red Pro,99.99,2000,0.05,7200,64,3.5,SATA 6.0 Gb/s
Western Digital Black PCIe,128.88,256,0.503,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital WD Green SN3000,,500,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Intel DC P3600,1500,1200,1.25,SSD,,PCIe,PCIe x4
MSI SPATIUM M450,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM790 w/Heatsink,171.59,2000,0.086,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Green,24.99,240,0.104,SSD,,2.5,SATA 6.0 Gb/s
Seagate Exos 7E8,75,3000,0.025,7200,256,3.5,SATA 6.0 Gb/s
HP FX900 Pro,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Gigabyte AORUS Gen4 5000E,,500,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Netac NV3000,,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA Legend 960,99.56,1000,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Enterprise Performance,,900,,15000,256,2.5,SAS 12.0 Gb/s
KingSpec NE-2280,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Acer FA200,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP EX2,,2000,,SSD,,2.5,SATA 6.0 Gb/s
HP EX920,104.43,1000,0.104,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP600 PRO XT,369.99,4000,0.092,SSD,,M.2-2280,M.2 PCIe 4.0 X4
PNY CS2140,99.5,1000,0.099,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate FireCuda 530R w/Heatsink,328.95,4000,0.082,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Intel 660p,76.98,512,0.15,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital PC SN730,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Acer FA200,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
MSI SPATIUM M482,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Constellation ES.3,,4000,,7200,128,3.5,SATA 6.0 Gb/s
Western Digital WD Blue,103.98,6000,0.017,5400,256,3.5,SATA 3.0 Gb/s
Mushkin Helix-L,58.99,1000,0.059,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue,,4000,,SSD,,2.5,SATA 6.0 Gb/s
Silicon Power A58,,2000,,SSD,,2.5,SATA 6.0 Gb/s
Seagate ST6000NM0104,120,6000,0.02,7200,128,3.5,SATA 6.0 Gb/s
Mushkin Vortex Redline,86.99,1000,0.087,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Leven JM600,,256,,SSD,,M.2-2280,M.2 SATA
Western Digital Blue,34.99,500,0.07,5400,64,3.5,SATA 6.0 Gb/s
Apacer AS350 PANTHER,,1000,,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Blue SA510,69.99,1000,0.07,SSD,,M.2-2280,M.2 SATA
Seagate EE25.2,22,40,0.55,5400,8,2.5,SATA 3.0 Gb/s
Crucial MX500,,1000,,SSD,,M.2-2280,M.2 SATA
KingSpec NXM,58.99,1000,0.059,SSD,,M.2-2242,M.2 PCIe 3.0 X4
Addlink S70,33.44,512,0.065,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Green,103.82,2000,0.052,5400,64,3.5,SATA 3.0 Gb/s
Toshiba MG09 512e,299.99,16000,0.019,7200,512,3.5,SATA 6.0 Gb/s
Lexar NS100,99.99,2000,0.05,SSD,,2.5,SATA 6.0 Gb/s
Inland Professional,19.98,120,0.166,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Green,106.12,1000,0.106,SSD,,2.5,SATA 6.0 Gb/s
Intel DC P4511,,2000,,SSD,,M.2-22110,M.2 PCIe 3.0 X4
Corsair MP600 GS,89.99,1000,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Intel 760p,79.98,256,0.312,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Lexar NS100,22.98,128,0.18,SSD,,2.5,SATA 6.0 Gb/s
Leven JPS800,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Nextorage NEM-PAB,144.99,2000,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Green,86.62,2000,0.043,5900,64,3.5,SATA 6.0 Gb/s
Samsung 840 Evo,,500,,SSD,,2.5,SATA 6.0 Gb/s
Klevv CRAS C710,,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Toshiba X300,,8000,,7200,256,3.5,SATA 6.0 Gb/s
SanDisk Ultra 3D,,2000,,SSD,,2.5,SATA 6.0 Gb/s
Intel 710,905.95,200,4.53,SSD,,2.5,SATA 3.0 Gb/s
Kingston A400,359,1920,0.187,SSD,,2.5,SATA 6.0 Gb/s
Seagate FireCuda 530R w/Heatsink,89.99,1000,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Intenso Top Performance,37.4,256,0.146,SSD,,M.2-2280,M.2 SATA
Western Digital Black SN850 w/Heatsink,239.99,2000,0.12,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Black,167.49,2000,0.084,7200,64,3.5,SATA 6.0 Gb/s
Netac NV3000,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston Predator,,480,,SSD,,PCIe,PCIe x4
Seagate ST1000DM004,,1000,,7200,64,3.5,SATA 6.0 Gb/s
Seagate BarraCuda 120,,500,,SSD,,2.5,SATA 6.0 Gb/s
GOODRAM CL100 gen.3,,480,,SSD,,2.5,SATA 6.0 Gb/s
Seagate Constellation ES.2,48,3000,0.016,7200,64,3.5,SAS 6.0 Gb/s
Verbatim Vi3000,113.89,2000,0.057,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Gigabyte AORUS Gen4 7000s,,1000,,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Lenovo S4520,200.39,960,0.209,SSD,,3.5,SATA 6.0 Gb/s
Samsung 860 Pro,284.06,1000,0.284,SSD,1024,2.5,SATA 6.0 Gb/s
Samsung Spinpoint F3,79.98,1000,0.08,7200,32,3.5,SATA 3.0 Gb/s
Corsair MP400,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM M371,,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
FanXiang S660,119.99,2000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Klevv CRAS C925,65.98,1000,0.066,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Gold,299.99,12000,0.025,7200,256,3.5,SATA 6.0 Gb/s
Western Digital Black,62.99,1000,0.063,7200,32,2.5,SATA 6.0 Gb/s
ADATA XPG GAMMIX S70 Blade,70.28,512,0.137,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Black,,1000,,7200,32,3.5,SATA 3.0 Gb/s
ADATA XPG GAMMIX S11 Pro,,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Force Vulcan Z,,2000,,SSD,,2.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,184.99,6000,0.031,7200,256,3.5,SATA 6.0 Gb/s
Toshiba P300,93.57,4000,0.023,5400,128,3.5,SATA 6.0 Gb/s
Western Digital Red Pro,269.99,10000,0.027,7200,256,3.5,SATA 6.0 Gb/s
Gigabyte GP-GSTFS31100TNTD,76.31,1000,0.076,SSD,,2.5,SATA 6.0 Gb/s
Lexar NM710,69.98,500,0.14,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Exos X18,299.37,12000,0.025,7200,512,3.5,SATA 6.0 Gb/s
Western Digital Black AN1500,,4000,,SSD,,PCIe,PCIe x8
HP EX900 Plus,37.99,512,0.074,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Green,47,120,0.392,SSD,,M.2-2280,M.2 SATA
Hitachi Ultrastar He12,255,12000,0.021,7200,256,3.5,SATA 6.0 Gb/s
TEAMGROUP T-FORCE Z44A5,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Inland Premium,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Red SN700,199.99,2000,0.1,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Apacer AS2280P4,52.9,512,0.103,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung Spinpoint F3,,500,,7200,16,3.5,SATA 3.0 Gb/s
Orico Y-20,29.99,512,0.059,SSD,,2.5,SATA 6.0 Gb/s
Inland Performance Plus,299.99,4000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Orico O7000,49.99,512,0.098,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Verbatim Vi550,14.99,128,0.117,SSD,,2.5,SATA 6.0 Gb/s
Intenso 3812440,24.38,256,0.095,SSD,,2.5,SATA 6.0 Gb/s
SanDisk Ultra 3D,,4000,,SSD,,2.5,SATA 6.0 Gb/s
Inland Platinum,64.98,1024,0.063,SSD,,2.5,SATA 6.0 Gb/s
Sabrent Rocket,,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Toshiba XG5,,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP34,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate EXOS Enterprise,114.59,4000,0.029,7200,256,3.5,SATA 6.0 Gb/s
Lexar Professional NM800PRO w/Heatsink,84.99,512,0.166,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-FORCE G50,49.99,512,0.098,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate FireCuda 520,147.72,500,0.295,SSD,,M.2-2280,M.2 PCIe 4.0 X4
ADATA Legend 850,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate SkyHawk,,1000,,5900,64,3.5,SATA 6.0 Gb/s
Seagate FireCuda,,1000,,,64,3.5,SATA 6.0 Gb/s
Kingston Predator,,240,,SSD,,M.2-2280,M.2 PCIe 2.0 X4
Leven JS600,,1000,,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP T-Create Classic C47,74.98,1000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Ultrastar,269.99,8000,0.034,7200,,3.5,SATA 6.0 Gb/s
Western Digital Red,136,2000,0.068,5400,256,3.5,SATA 6.0 Gb/s
Nextorage G-Series,699.99,8000,0.087,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Intel D3-S4610,,7680,,SSD,,2.5,SATA 6.0 Gb/s
Patriot P400,64.98,1000,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red Plus,282.7,8000,0.035,7200,256,3.5,SATA 6.0 Gb/s
PNY CS3140,279.99,4000,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Toshiba X300 Pro,350.21,18000,0.019,7200,512,3.5,SATA 6.0 Gb/s
Western Digital VelociRaptor,74.84,500,0.15,10000,64,3.5,SATA 6.0 Gb/s
Inland Professional,22.99,240,0.096,SSD,,2.5,SATA 6.0 Gb/s
Silicon Power UD85,,500,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Orico J-10,99.99,2000,0.05,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Mushkin Gamma,849.99,8000,0.106,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Purple,72.98,2000,0.036,5400,256,3.5,SATA 6.0 Gb/s
Samsung SM951,,128,,SSD,256,M.2-2280,M.2 PCIe 3.0 X4
Intenso 3812450,40.67,512,0.079,SSD,,2.5,SATA 6.0 Gb/s
Integral M,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital SN530,,1024,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue Mobile,49.99,1000,0.05,5400,128,2.5,SATA 6.0 Gb/s
HP FX900 Pro,179.99,2000,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Gigabyte GP-GSTFS31480GNTD,42.14,480,0.088,SSD,,2.5,SATA 6.0 Gb/s
Samsung 860 Pro,245,256,0.957,SSD,512,2.5,SATA 6.0 Gb/s
Solidigm P44 Pro,,512,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 860 QVO,464.99,4000,0.116,SSD,,2.5,SATA 6.0 Gb/s
KingSpec VP101,111.99,1000,0.112,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Western Digital WD_BLACK,169.99,6000,0.028,7200,256,3.5,SATA 6.0 Gb/s
Western Digital Blue,107.99,1000,0.108,SSD,,2.5,SATA 6.0 Gb/s
ADATA XPG SPECTRIX S20G,104.7,1000,0.105,SSD,,M.2-2280,M.2 PCIe 3.0 X4
SanDisk Ultra II,199.99,480,0.417,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Blue SA510,38.99,250,0.156,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Black AN1500,,2000,,SSD,,PCIe,PCIe x8
HP EX900,42.99,500,0.086,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Intenso High Performance,80.67,960,0.084,SSD,,2.5,SATA 6.0 Gb/s
Gigabyte AORUS Gen4 5000E,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM790,,512,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,26.99,250,0.108,7200,8,3.5,SATA 3.0 Gb/s
Toshiba HDKCC00,24,500,0.048,7200,16,2.5,SATA 6.0 Gb/s
Western Digital VelociRaptor,206.17,600,0.344,10000,32,3.5,SATA 6.0 Gb/s
GOODRAM CL100 gen.3,,240,,SSD,,2.5,SATA 6.0 Gb/s
ADATA LEGEND 800 GOLD,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Transcend MTE245S,79.03,1000,0.079,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_BLACK,159.99,4000,0.04,7200,256,3.5,SATA 6.0 Gb/s
Seagate BarraCuda Pro,245.68,10000,0.025,7200,256,3.5,SATA 6.0 Gb/s
Western Digital Red SN700,52.99,250,0.212,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Intel DC P3600,1850,800,2.312,SSD,,PCIe,PCIe x4
Western Digital Green,,2000,,5400,64,3.5,SATA 6.0 Gb/s
Intel 660p,400.17,2000,0.2,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA XPG GAMMIX S50 Lite,199.45,1000,0.199,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Green,,3000,,5400,64,3.5,SATA 6.0 Gb/s
Samsung 850 Pro,315,2000,0.158,SSD,,2.5,SATA 6.0 Gb/s
Intel DC S3610,347,1600,0.217,SSD,,2.5,SATA 6.0 Gb/s
GOODRAM CL100 gen.3,,960,,SSD,,2.5,SATA 6.0 Gb/s
ADATA XPG GAMMIX S60 Blade,,512,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Toshiba S300,152.87,4000,0.038,5400,256,3.5,SATA 6.0 Gb/s
Corsair MP600 ELITE PS5,139.99,2000,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP700,,1000,,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Western Digital Black SN850,135.99,500,0.272,SSD,,M.2-2280,M.2 PCIe 4.0 X4
FanXiang S770,85.49,1000,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4
FanXiang S101,109.99,2000,0.055,SSD,,2.5,SATA 6.0 Gb/s
Acer SA100,19.98,240,0.083,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Red,135,3000,0.045,5400,64,3.5,SATA 6.0 Gb/s
Samsung 840 Pro,,512,,SSD,,2.5,SATA 6.0 Gb/s
Seagate BarraCuda 120,,2000,,SSD,,2.5,SATA 6.0 Gb/s
Seagate Enterprise Capacity,149.99,8000,0.019,7200,256,3.5,SAS 6.0 Gb/s
Western Digital Gold,108.47,4000,0.027,7200,128,3.5,SATA 6.0 Gb/s
Seagate ST2000NX0253,120.99,2000,0.06,7200,128,2.5,SATA 6.0 Gb/s
Toshiba P300,86.04,2000,0.043,5400,128,3.5,SATA 6.0 Gb/s
Toshiba MQ01ABD100,,1000,,5400,8,2.5,SATA 3.0 Gb/s
Western Digital Blue,,4000,,,64,3.5,SATA 6.0 Gb/s
Seagate ST4000DX001,,4000,,,64,3.5,SATA 6.0 Gb/s
Lexar NM610,59.99,500,0.12,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Green,,1000,,5400,16,3.5,SATA 3.0 Gb/s
Samsung 850 Evo,,500,,SSD,,M.2-2280,M.2 SATA
KIOXIA EXCERIA PLUS G2,,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate Enterprise,,6000,,7200,128,3.5,SAS 12.0 Gb/s
Seagate Exos X16,,10000,,7200,256,3.5,SATA 6.0 Gb/s
