name,price,style,switches,backlit,tenkeyless,connection_type,color
HP HyperX Alloy Core,37.99,Gaming,,RGB,false,Wired,Black
RK Royal Kludge RK61,49.99,Mini,RK Red,White,true,"Wired, Wireless, Bluetooth Wireless",White
Asus ROG Azoth Extreme,499.99,Gaming,ROG NX Snow,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Redragon K552,32.99,Gaming,Outemu Blue,Red,true,Wired,Black
Logitech MX 5500 Revolution,741.69,Standard,,,false,Wireless,Black
Razer Huntsman Mini,69.98,Mini,Razer Purple Optical Clicky,RGB,true,Wired,White
Corsair K70 RGB PRO,129.99,Gaming,Cherry MX Red,RGB,false,Wired,Black
Logitech K120,12.34,Standard,,,false,Wired,Black
RK Royal Kludge RK61,49.99,Mini,RK Red,White,true,"Wired, Wireless, Bluetooth Wireless",Black
Razer Huntsman V3 Pro,219.99,Gaming,Razer Analog Optical Switch Gen-2,RGB,true,Wired,Black
Razer Huntsman Mini,69.98,Mini,Razer Red Optical Linear,RGB,true,Wired,Black
SteelSeries Apex Pro TKL (2023),199.99,Gaming,SteelSeries OmniPoint 2.0,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech G915 Lightspeed,249.99,Gaming,Logitech GL Tactile,RGB,false,Wireless,Black
SteelSeries Apex 3 TKL RGB,34.97,Gaming,,RGB,true,Wired,Black
Logitech PRO X,159.99,Gaming,Logitech GX Brown Tactile,RGB,true,"Wired, Wired, Wireless, Bluetooth Wireless",White
Razer BlackWidow V4 Pro,229.99,Gaming,Razer Green,RGB,false,Wired,Black
Logitech G PRO,63,Gaming,GX Blue,RGB,true,Wired,Black
Redragon K582 SURARA,39.99,Gaming,Outemu Red,RGB,false,Wired,Black
Razer Huntsman V3 Pro Mini,179.99,Mini,Razer Analog Optical Switch Gen-2,RGB,true,Wired,Black
Corsair K55 RGB PRO,59.99,Gaming,,Multicolor,false,Wired,Black
HP USB Keyboard,11.99,Standard,,,false,Wired,Black
SteelSeries Apex Pro,199.99,Gaming,OmniPoint Adjustable,RGB,false,Wired,Black
Razer DeathStalker V2 Pro,199.99,Gaming,Razer Purple Low-Profile Optical Clicky,RGB,false,"Wired, Wireless, Bluetooth Wireless",White
Corsair K100 RGB,220.99,Gaming,Corsair OPX,RGB,false,Wired,Black
Wooting Two HE,,Gaming,Lekker linear60,RGB,false,Wired,Black
Asus ROG Strix Scope II 96,149.99,Gaming,ROG NX Snow,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K65 PLUS,152.31,Gaming,Corsair MLX Red Linear,RGB,true,"Wired, Wireless",Black
Razer Ornata V3 X,34.97,Gaming,,RGB,false,Wired,Black
Logitech G413 SE,48,Gaming,Kailh LT Brown,White,true,Wired,Black
SteelSeries Apex Pro Mini,118,Gaming,SteelSeries OmniPoint 2.0,RGB,true,Wired,Black
Verbatim 99201,19.98,Standard,,,false,Wired,Black
Logitech G915 TKL,122.43,Gaming,GL Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech Wireless Combo MK270,22.99,Standard,,,false,Wireless,Black
Cooler Master SK620,27.42,Gaming,TTC Blue,RGB,true,Wired,Gray / Black
Razer BlackWidow V3,109.99,Gaming,Razer Green,RGB,true,Wired,Black
Logitech G512 CARBON,94.99,Gaming,GX Brown,RGB,false,Wired,Black
Asceny One,19.98,Mini,Gateron Blue Optical,RGB,true,Wired,Black
Logitech G715,99.99,Gaming,GX Brown,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
G.Skill KM360,49.99,Standard,Cherry MX Red,White,true,Wired,White
HP HyperX Alloy Origins Core,79.98,Gaming,HyperX Red,RGB,true,Wired,Black
Logitech G213 PRODIGY,49.99,Gaming,,RGB,false,Wired,Black
SteelSeries Apex 3,47.99,Gaming,,RGB,false,Wired,Black
Razer BlackWidow V4 Pro 75%,299.99,Mini,Razer Gen-3 (Tactile),RGB,true,"Wireless, Bluetooth Wireless",Black
Redragon DEVARAIAS K556 RGB,59.99,Gaming,Outemu Brown,RGB,false,Wired,Black
Dell KB216,11.99,Slim,,,false,Wired,Black
Corsair K100 AIR Wireless,229.99,Gaming,Cherry MX Ultra Low Profile Tactile,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
SteelSeries Apex Pro TKL (2023),149.99,Gaming,SteelSeries OmniPoint 2.0,RGB,true,Wired,Black
SteelSeries Apex 7 TKL,86.7,Gaming,SteelSeries QX2 Red,RGB,true,Wired,Black
Keychron C3 Pro,39.99,Standard,Keychron K Pro Red,Red,true,Wired,Black / Red
Razer Ornata V3,59.99,Gaming,,RGB,true,Wired,Black
Razer Huntsman Mini,71.98,Mini,Razer Purple Optical Clicky,RGB,true,Wired,Black
Keychron V1 Max,84,Mini,Gateron Jupiter Brown,,true,"Wired, Wired, Wireless, Bluetooth Wireless",Black / Blue
Corsair K65 60%,109.99,Mini,Cherry MX Speed Silver,RGB,true,Wired,Black
Verbatim 70734,13.39,Standard,,,false,Wired,Black
Razer Blackwidow V3 - Quartz,99.99,Gaming,Razer Green,RGB,false,Wired,Pink
Redragon S101,32.99,Gaming,,,false,Wired,Black / Red
SteelSeries Apex 100,29.99,Gaming,,Blue,false,Wired,Black
Microsoft Natural Desktop 7000,799.95,Ergonomic,,,false,Wireless,Black / Silver
SteelSeries Apex Pro TKL,219.99,Gaming,SteelSeries QX2 OmniPoint,RGB,true,Wired,Black
Corsair K70 RGB PRO,129.99,Gaming,Corsair OPX,RGB,false,Wired,White
MSI Vigor GK30,29.99,Gaming,,RGB,false,Wired,Black
Logitech G710 Plus,284.52,Gaming,Cherry MX Brown,White,false,Wired,Black
Razer BlackWidow V4 75%,189.99,Mini,Razer Orange,RGB,true,Wired,White
Whirlwind FX Element V2,34.99,Gaming,Gateron Red,RGB,false,Wired,Black
AmazonBasics KU-0833 +MSU0939,14.89,Standard,,,false,Wired,Black
Razer Huntsman Mini,79.98,Mini,Razer Red Optical Linear,RGB,true,Wired,White
Razer Huntsman V2,129.99,Gaming,Razer Purple Optical Clicky,RGB,false,Wired,Black
Tecware Phantom RGB,49.99,Gaming,Outemu Red,RGB,true,Wired,Black
Logitech MK120,17.99,Slim,,,false,Wired,Black
SteelSeries Apex 5,68.42,Gaming,,RGB,false,Wired,Black
Corsair K70 CORE,79.99,Gaming,Corsair MLX Red Linear,RGB,false,Wired,Black
SteelSeries Apex Pro Mini Wireless,179.99,Gaming,SteelSeries OmniPoint 2.0,RGB,true,"Wireless, Bluetooth Wireless",Black
Gigabyte AORUS K1,232,Gaming,Cherry MX Red,RGB,false,Wired,Black
Logitech G915 Lightspeed,134.34,Gaming,Logitech GL Clicky,RGB,false,Wireless,Black
Corsair K70 PRO MINI,94.99,Mini,Cherry MX Speed Silver,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
HP HyperX Alloy Origins,89.99,Gaming,HyperX Red,RGB,false,Wired,Black
Logitech G915 X LIGHTSPEED,228.66,Gaming,Logitech Low-Profile GL Tactile,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
Razer BlackWidow V3 Mini HyperSpeed,149.9,Gaming,Razer Green,RGB,true,Wireless,Black
Keychron K2 HE,129.99,Standard,Gateron Nebula,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black / Green
Corsair K100 RGB,243.74,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Black
Logitech K120,25.4,Standard,,,false,Wired,Black
Corsair K65 RGB MINI,69.99,Mini,Cherry MX Speed Silver,RGB,true,Wired,White
Asus ROG CLAYMORE II,301.92,Gaming,ROG RX Red Optical,RGB,false,Wireless,Black
Logitech G213,46.89,Gaming,,RGB,false,Wired,Black
Logitech MX KEYS S,104.99,Standard,,,false,"Wired, Wireless, Bluetooth Wireless",Black
Asus ROG Azoth,,Mini,ROG NX Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech K400 Plus,27.99,Mini,,,true,Wireless,Black / Yellow
Asus ROG Falchion RX,139.99,Slim,ROG RX Red Optical,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Keychron K10 Pro QMK/VIA,114.99,Standard,Keychron K Pro Brown,RGB,false,"Wired, Bluetooth Wireless",Black / Gray
Razer BlackWidow V3,79.98,Gaming,Razer Yellow,RGB,true,Wired,Black
Wooting One,,Gaming,Flaretech Red,RGB,true,Wired,Black
E-element Z88RGB81WRZ,34.99,Mini,Outemu Blue,Multicolor,true,Wired,White
Logitech MK200,19.98,Slim,,,false,Wired,Black
Cooler Master SK622,38.95,Gaming,TTC Brown Low Profile,RGB,true,"Wired, Bluetooth Wireless",Black
HP HyperX Alloy Origins 60,72.84,Gaming,HyperX Red,RGB,true,,Black
Corsair K55 CORE RGB,,Gaming,,RGB,false,Wired,Black
Logitech G Pro X,,Gaming,Logitech GX Blue Clicky,RGB,true,Wired,Black
Logitech PRO X,159.99,Gaming,Logitech GX Blue Clicky,RGB,true,"Wired, Wired, Wireless, Bluetooth Wireless",Black
Razer DeathStalker V2 Pro,129.99,Gaming,Razer Red Low-Profile Optical Linear,RGB,true,Wireless,Black
Corsair K70 CORE TKL,99.99,Gaming,Corsair MLX Red V2 Linear,RGB,true,Wired,Black
Razer BlackWidow V3 Mini HyperSpeed - Phantom Edition,99.89,Gaming,Razer Yellow,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Asus ROG Strix Flare II Animate,,Gaming,ROG NX Brown,RGB,false,Wired,Black
Logitech G512 CARBON,94,Gaming,Romer-G Tactile,RGB,false,Wired,Black
Redragon K512 SHIVA RGB,36.99,Gaming,,RGB,false,Wired,Black
MSI Vigor GK30,48.98,Gaming,,RGB,false,Wired,White
RK Royal Kludge RK61,49.99,Mini,RK Blue,White,true,"Wired, Wireless, Bluetooth Wireless",White
NZXT Function 2,57,Gaming,NZXT Swift Optical 40g,RGB,false,"Wired, Wired",White
Ducky One 2 Mini,,Standard,Cherry MX Brown,RGB,true,Wired,White / Black
Keychron Q3 Max QMK/VIA,213.99,Standard,Gateron Jupiter Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black / White
8BitDo Retro N,89.99,Gaming,Kailh Box White V2,,false,"Wired, Wireless, Bluetooth Wireless",White / Gray
Keychron V1 Max,99.99,Mini,Gateron Jupiter Red,,true,"Wired, Wired, Wireless, Bluetooth Wireless",Black / Blue
Razer Huntsman V3 Pro,,Gaming,Razer Analog Optical Switch Gen-2,RGB,false,Wired,Black
Corsair K70 RGB PRO,129.99,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Black
Corsair K55 CORE RGB,39.99,Gaming,,RGB,false,Wired,Black
SHARKOON Skiller,,Gaming,,,false,Wired,Black
Corsair K70 RGB MK.2,278,Gaming,Cherry MX Brown,RGB,false,Wired,Black
Logitech MX Mechanical,145.55,Slim,Kailh Choc V2 Brown,White,false,Wireless,Gray / Black
SteelSeries Apex 3,34.97,Gaming,,RGB,true,Wired,Black
Corsair K70 RGB PRO,129.99,Gaming,Cherry MX Brown,RGB,false,Wired,Black
Logitech G515 LIGHTSPEED,121.99,Gaming,GL Tactile V2,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Glorious GMMK,109.99,Gaming,Gateron Brown,RGB,false,Wired,Black
Logitech G915 TKL,119.99,Gaming,GL Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",White / Silver
Logitech PRO X RAPID,149.99,Gaming,Logitech Magnetic Analog,RGB,true,Wired,Black
Razer Ornata Chroma,144.99,Gaming,,RGB,false,Wired,Black
Razer Cynosa V2,85,Gaming,,RGB,false,Wired,Black
Logitech G715,99.99,Gaming,GX Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Corsair K57 RGB,109.99,Gaming,,RGB,false,Bluetooth Wireless,Black
Logitech MK235,19.98,Standard,,,false,Wireless,Black
Asus ROG Strix Scope,99.64,Gaming,ROG RX Red Optical,RGB,false,Wired,
Asus ROG Strix Flare II Animate,,Gaming,ROG NX Red,RGB,false,Wired,Black
Keychron K2 V2 Aluminum,99.99,Standard,Gateron G Pro Brown,RGB,true,Wireless,Black / Gray
HP 320K,13.99,Standard,,,false,Wired,Black
Corsair K95 RGB PLATINUM,,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Gunmetal
Corsair K70 CORE w/Palmrest,96.17,Gaming,Corsair MLX Red Linear,RGB,false,Wired,Black
Womier SK75,109.99,Mini,Womier Mint Blizzard Linear,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
Logitech K845,53.99,Standard,TTC Red,White,false,Wired,Black
Razer BlackWidow V3,104.99,Gaming,Razer Green,RGB,false,Wired,Black
Redragon K552-R KUMARA,,Gaming,Outemu Blue,RGB,true,Wired,Black
Logitech G815 Lightsync RGB,145.99,Gaming,GL Tactile,RGB,false,Wired,Black
SteelSeries Apex Pro TKL (2023),,Gaming,SteelSeries OmniPoint 2.0,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
RK Royal Kludge RK61,49.99,Mini,RK Brown,White,true,"Wired, Wireless, Bluetooth Wireless",Black
SteelSeries Apex 7,159.99,Gaming,SteelSeries QX2 Red,RGB,false,Wired,Black
Razer Huntsman V2,228,Gaming,Razer Red Optical Linear,RGB,true,Wired,Black
Cooler Master SK620,26.03,Gaming,TTC Red,RGB,true,Wired,Silver / White
Razer BlackWidow V4,150.99,Gaming,Razer Green,RGB,false,Wired,Black
RK Royal Kludge RK61,49.99,Mini,RK Blue,White,true,"Wired, Wireless, Bluetooth Wireless",Black
HP Z9N38AA#ABA,20.5,Slim,,,false,Wired,Black
Logitech G413 SE,,Gaming,Kailh LT Brown,White,true,Wired,Black
GMMK Glorious Modular Mechanical Gaming Keyboard,225.7,Gaming,Gateron Brown,RGB,true,Wired,Black
Logitech G915 TKL,229.99,Gaming,GL Linear,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
AZIO KB512,17.98,Gaming,,Multicolor,false,Wired,Black
Keychron C2,,Standard,Gateron G Pro Brown Hot-swappable,White,false,Wired,Black / White
Logitech G610,142,Gaming,Cherry MX Red,White,false,Wired,Black
Razer Ornata V3 X,,Gaming,,RGB,false,Wired,Black
MSI VIGOR,32.02,Gaming,,RGB,false,Wired,Black / Gray
Asus ROG Falchion,99.99,Gaming,ROG NX Red,RGB,true,"Wired, Wireless",Black
Corsair Vengeance K70,,Gaming,Cherry MX Red,Red,false,Wired,Black
EVGA Z15,57.08,Gaming,Kailh Silver Speed,RGB,false,Wired,Black
Corsair K55 RGB PRO XT,71.95,Gaming,,RGB,false,Wired,Black
Das Keyboard Model S Professional,129,Standard,Cherry MX Brown,,false,Wired,Black
HP 150,12.99,Standard,,,false,Wired,Black
Corsair K60 Pro,49.99,Gaming,Corsair OPX,RGB,true,Wired,Black
GameMax Pulse,,Gaming,,Multicolor,false,Wired,Black
Logitech PRO X RAPID,149.99,Gaming,Logitech Magnetic Analog,RGB,true,Wired,White
Logitech MK295 Silent,29.48,Standard,,,false,"Wired, Wireless",Black
Logitech PRO X 60,125.99,Mini,Logitech GX Red Linear,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Razer Huntsman V2 Analog,199.99,Gaming,Razer Analog Optical,RGB,false,Wired,Black
Logitech G910 Orion Spectrum RGB,,Gaming,Romer-G Tactile,RGB,false,Wired,Black
Razer BlackWidow V3 Pro,,Gaming,Razer Yellow,RGB,false,Wireless,Black
Cooler Master SK620,,Gaming,TTC Brown,RGB,true,Wired,Silver / White
HP HyperX Alloy Origins Core,65.98,Gaming,HyperX Aqua,RGB,true,Wired,Black
Logitech G Pro,129.99,Gaming,Romer-G Tactile,RGB,true,Wired,Black
Logitech G915 LIGHTSPEED TKL,189.99,Gaming,Logitech Low-Profile GL Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K68,,Gaming,Cherry MX Red,Red,false,Wired,Black
Logitech K120 - UK Layout,,Standard,,,false,Wired,Black
Adesso AKB-137CB,29.99,Gaming,,RGB,false,Wired,Black
Razer BlackWidow V4 X,129.99,Gaming,Razer Green,RGB,false,Wired,Black
Logitech MX Keys,109.99,Slim,,,false,"Wired, Wired, Wireless, Bluetooth Wireless",Black
Thermaltake POSEIDON Z,79.98,Gaming,Kailh Blue,Blue,false,Wired,Black
Razer BlackWidow V4 75%,158.99,Mini,Razer Orange,RGB,true,Wired,Black
Corsair K70 PRO MINI,89.99,Mini,Cherry MX Speed Silver,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Logitech G915 Lightspeed,,Gaming,Logitech GL Tactile,RGB,false,"Wireless, Bluetooth Wireless",Black
Tecware Phantom+,59.99,Gaming,Tecware Wraith Red,RGB,true,Wired,Black
Razer BlackWidow V4 Pro,229.99,Gaming,Razer Yellow,RGB,false,Wired,Black
Glorious GMMK,225.7,Gaming,Gateron Brown,RGB,true,Wired,Black
Logitech G915 X LIGHTSPEED,206.18,Gaming,Logitech Low-Profile GL Tactile,RGB,false,"Wired, Wireless, Bluetooth Wireless",White / Silver
Corsair K63,,Gaming,Cherry MX Red,Red,true,Wired,Black
Razer Huntsman Elite,,Gaming,Razer Purple,RGB,false,Wired,Black
Cherry JK-0800,18.96,Standard,,,false,Wired,Black
Logitech G815 Lightsync RGB,119.99,Gaming,GL Clicky,RGB,false,Wired,Black
Logitech Wave Keys,59.99,Ergonomic,,,false,"Wired, Wireless",Black
Razer DeathStalker V2 Pro,169.99,Gaming,Razer Red Low-Profile Optical Linear,RGB,false,Wireless,Black
iBuypower Chimera KM7 RGB,35,Gaming,,RGB,false,Wired,Black
Logitech MX Keys Advanced,239.43,Slim,,White,false,Wireless,Black
Keychron C2,65.98,Standard,Gateron G Pro Brown,White,false,Wired,Black / White
Corsair K55 + HARPOON RGB,99.99,Gaming,,RGB,false,Wired,Black
Asus TUF Gaming K1,62.16,Gaming,,RGB,false,Wired,Black
Logitech K270,24.49,Standard,,,false,Wireless,Black
Tecware Phantom 104,55.99,Gaming,Outemu Blue,RGB,false,Wired,Black
NZXT Function 2,89.99,Gaming,NZXT Swift Optical 40g,RGB,false,"Wired, Wired",White
Keychron C3 Pro,44.99,Standard,Keychron K Pro Brown,Red,true,Wired,Black / Red
Razer Huntsman V2,149,Gaming,Razer Red Optical Linear,RGB,true,Wired,Pink
ENDORFY Thock,,Gaming,Kailh Red,RGB,true,Wired,Black
Logitech PRO X 60,161.99,Mini,Logitech GX Red Linear,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Keychron Q6 Pro,229.99,Gaming,Keychron K Pro Brown,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black / Blue
Corsair K95 RGB PLATINUM XT,,Gaming,Cherry MX Brown,RGB,false,Wired,Black
Corsair K70 MAX RGB US,229.99,Gaming,Corsair MGX Steel Grey,RGB,false,Wired,Black
Razer Ornata V3,63.99,Gaming,,RGB,false,Wired,Black
Rii RK100,,Standard,,Multicolor,false,Wired,
Keychron K5 Max,239.99,Standard,Gateron Low-Profile Red,White,false,"Wired, Wireless, Bluetooth Wireless",Black / Gray
Keychron Lemokey X3,49.99,Standard,Keychron Brown,Red,false,"Wired, Wired",Black / Red
Corsair K70 CORE SE RGB w/Palmrest,79.98,Gaming,Corsair MLX Red Linear,RGB,false,Wired,White / Gray
Corsair K70 RGB TKL CHAMPION SERIES,,Gaming,Cherry MX Speed Silver,RGB,true,Wired,Black
Razer Tartarus Pro,129.99,Ergonomic,Razer Red Optical Linear,RGB,true,Wired,Black
Razer DeathStalker V2 Pro,199.99,Gaming,Razer Purple Low-Profile Optical Clicky,RGB,false,Wireless,Black
Keychron K2 HE Special Edition,,Standard,Gateron Nebula,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black / Brown
GAMDIAS HERMES E3,33.87,Gaming,Outemu Blue,RGB,true,Wired,White
iBuypower MEK 4,55,Gaming,Cherry MX Brown,RGB,false,Wired,Black
IOGEAR KORONA KORE II,29.99,Gaming,,RGB,false,Wired,Black
Keychron Q1 HE QMK PBT,,Standard,Gateron Nebula,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black / White
Ducky Ducky One 2 SF RGB,99,Gaming,Cherry MX Black,RGB,true,Wired,Black
Asus ROG Falchion Ace,99.99,Gaming,ROG NX Red,RGB,true,Wired,Black
Kinesis Gaming KB600,339,Ergonomic,Cherry MX Brown,,true,Wired,Black / Blue
Razer Huntsman V2,89.99,Gaming,Razer Purple Optical Clicky,RGB,true,Wired,Black
NZXT Function 2,56.99,Gaming,NZXT Swift Optical 40g,RGB,true,"Wired, Wired",White
SteelSeries Apex 9 TKL,109.99,Gaming,SteelSeries OptiPoint Linear,RGB,true,Wired,Black
Keychron Q6 Pro,229.99,Gaming,Keychron K Pro Brown,RGB,false,"Wired, Wireless, Bluetooth Wireless",White / Red
Razer BlackWidow V3 Mini HyperSpeed - Phantom Edition,98.57,Gaming,Razer Green,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech Wireless All-in-One Keyboard TK820,307.93,Slim,,,true,Wireless,Black
Razer Ornata V2,,Gaming,,RGB,false,Wired,Black
Logitech PRO X 60,160.05,Mini,Logitech GX Brown Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K70 PRO TKL PBT,189.99,Gaming,Corsair MGX V2,RGB,true,Wired,Black
Logitech K400,39.89,Slim,,,true,Wireless,Black
Corsair K70 PRO MINI,,Mini,Cherry MX Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Corsair K70 RGB MK.2,,Gaming,Cherry MX Red,RGB,false,Wired,Black
Asus ROG CLAYMORE II,,Gaming,ROG RX Blue Optical,RGB,false,Wireless,Black
Tecware Phantom+ Elite,81.99,Gaming,Tecware Wraith Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",White / Gray
Thermaltake Commander Combo V2,34.98,Gaming,,Multicolor,false,Wired,Black
Logitech G613,,Standard,Romer-G Tactile,,false,Wireless,Black
SIIG JK-US0012-S1,11.99,Standard,,,false,Wired,Black
Logitech G910 Orion Spark,332.74,Gaming,Romer-G Tactile,RGB,false,Wired,Black
Ducky One 2 RGB TKL,89,Standard,Cherry MX Red,,true,Wired,Black
Ducky ONE 3,159,Gaming,Cherry MX Red RGB,RGB,false,Wired,Black
Keychron Q1 Pro,,Standard,Keychron K Pro Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K70 CORE TKL,149.99,Gaming,Corsair MLX Red V2 Linear,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech MK540 Advanced,37.32,Standard,,,false,"Wired, Wireless",Black
Asus ROG Strix Scope,169.99,Gaming,ROG RX Red Optical,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech ERGO K860,119.99,Ergonomic,,,false,Bluetooth Wireless,Black
Logitech G815 Lightsync RGB,199.99,Gaming,GL Linear,RGB,false,Wired,Black
Razer Huntsman Tournament Edition,,Gaming,Razer Red Optical Linear,RGB,true,Wired,Black
ROCCAT Vulcan 121 Aimo RGB,98.28,Gaming,Roccat Titan Red,RGB,false,Wired,Black
Logitech G915 X,169.99,Gaming,Logitech GL Tactile,RGB,false,Wired,Black
Keychron C2 Pro V1 Hotswap,71.4,Standard,Keychron K Pro Red,RGB,false,Wired,Black / Gray
HP 230,18.98,Standard,,,false,"Wired, Wireless",Black
Keychron K4 V2,,Standard,Gateron G Pro Brown,RGB,false,"Wired, Bluetooth Wireless",Black / Gray
Razer Blackwidow Ultimate 2013,251.66,Gaming,Cherry MX Blue,Green,false,Wired,Black
Logitech K740,319.79,Slim,,White,false,Wired,Black
Razer BlackWidow 2019,189.68,Gaming,Razer Green,RGB,false,Wired,Black
Glorious GMMK,137.06,Gaming,Gateron Brown,RGB,true,Wired,Black
Razer BlackWidow Chroma V2,,Gaming,Razer Green,RGB,false,Wired,Black
Keychron V1 Max,,Mini,Gateron Jupiter Banana,,true,"Wired, Wired, Wireless, Bluetooth Wireless",Black / Blue
Cooler Master CK721,49.99,Gaming,TTC Brown,RGB,true,"Wired, Wireless, Bluetooth Wireless",Silver / White
Logitech G413 SE,,Gaming,Kailh LT Brown,White,false,Wired,Black
Corsair K70 PRO TKL ABS,179.99,Gaming,Corsair MGX V2,RGB,true,Wired,White
Razer BlackWidow V4,169.99,Gaming,Razer Yellow,RGB,false,Wired,Black
Ducky ONE 3,,Gaming,Cherry MX Red RGB,RGB,false,Wired,White
SteelSeries Apex 9 Mini,129.99,Gaming,SteelSeries OptiPoint Linear,RGB,true,Wired,Black
SteelSeries Apex 3,,Gaming,,RGB,true,Wired,Black
Cooler Master Devastator 3 (2022),,Gaming,,RGB,false,Wired,Black
HP HyperX Alloy Elite 2,,Gaming,HyperX Red,RGB,false,Wired,Black
Rii RK105,,Gaming,,RGB,false,Wired,Black
Keychron K10,84.99,Standard,Gateron G Pro Red,White,false,"Wired, Bluetooth Wireless",Gray / Black
Lenovo 300,12.79,Slim,,,false,Wired,Black
Logitech G710,322.92,Gaming,Cherry MX Blue,White,false,Wired,Black / Blue
Razer Cynosa Chroma,,Gaming,,RGB,false,Wired,Black
Corsair K70 RGB RAPIDFIRE,,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Black
Logitech G915 X LIGHTSPEED,209.99,Gaming,Logitech Low-Profile GL Linear,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K68 RGB,,Gaming,Cherry MX Red,RGB,false,Wired,Black
Cobra Polygon,,Gaming,,,false,Wired,Black / Blue
Razer Huntsman Mini Analog,144.99,Mini,Razer Analog Optical,RGB,true,Wired,Black
Logitech G513 Carbon,129.99,Gaming,GX Brown,RGB,false,Wired,Black
Logitech K845,59.99,Standard,TTC Brown,White,false,Wired,Black
Keychron K2 V2 Aluminum,,Standard,Gateron G Pro Red,RGB,true,Wireless,Black / Gray
Asus ROG Falchion Ace,99.99,Gaming,ROG NX Brown,RGB,true,Wired,White
Corsair K70 PRO TKL PBT,,Gaming,Corsair MGX V2,RGB,true,Wired,White
FNATIC miniSTREAK RGB,299,Gaming,Cherry MX Silent Red,RGB,true,Wired,Black
Cooler Master CM Storm Devastator Gaming Bundle,87.69,Gaming,,Blue,false,Wired,Black
Razer Pro Type Ultra - US,,Standard,Razer Yellow,White,false,"Wired, Wireless, Bluetooth Wireless",White / Gray
HP HyperX Alloy Origins,89.99,Gaming,HyperX Aqua,RGB,false,Wired,Black
MSI VIGOR GK71 SONIC,149,Gaming,MSI Sonic Blue,RGB,false,Wired,Black
Logitech MX Mechanical Mini,91.55,Slim,Kailh Choc V2 Blue,White,true,Wireless,
Asus ROG Strix Scope II 96,149.99,Gaming,ROG NX Storm,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
Razer Huntsman,,Gaming,Razer Purple,RGB,false,Wired,Black
Redragon K580 VATA,,Gaming,Outemu Blue,RGB,false,Wired,Black
Keychron K4 V2,99.99,Standard,Gateron G Pro Red,RGB,false,"Wired, Bluetooth Wireless",Black / Gray
Asus ROG Strix Flare II,179.99,Gaming,ROG NX Red,RGB,false,Wired,Black
Razer BlackWidow Elite,,Gaming,Razer Green,RGB,false,Wired,Black
SteelSeries Apex 7 TKL Ghost,149.99,Gaming,SteelSeries QX2 Red,RGB,true,Wired,Silver
Razer Huntsman V3 Pro,,Gaming,Razer Analog Optical Switch Gen-2,RGB,false,Wired,Black
Keychron Lemokey X3,49.99,Standard,Keychron Red,Red,false,"Wired, Wired",Black / Red
Corsair K65 PRO MINI,126.99,Gaming,Corsair OPX,RGB,true,,Black
Logitech PRO X,159.99,Gaming,Logitech GX Red Linear,RGB,true,,Black
Asus TUF Gaming K3,89.99,Gaming,Kailh Red,RGB,false,Wired,Black
Logitech MK470,43.09,Slim,,,false,"Wired, Wireless",Black / Gray
Corsair K70 RGB PRO,169.99,Gaming,Cherry MX Blue,RGB,false,Wired,Black
