name,price,type,frequency_response,microphone,wireless,enclosure_type,color
HiFiMAN Susvara,5999,Circumaural,"6,75",false,false,Open,Silver / Brown
HP HyperX Cloud II,68.54,Circumaural,"15,25",true,false,Closed,Black / Red
Razer BlackShark V2 X,36.83,Circumaural,"12,28",true,false,Closed,Black / Green
"SteelSeries Arctis Nova Pro Wireless for PC, PS5, and PS4",316.99,Circumaural,"10,40",true,true,Closed,Black
Logitech G435,49.61,Circumaural,"20,20",true,true,Closed,Black / Yellow
Logitech PRO X 2 LIGHTSPEED,199,Circumaural,"20,20",true,true,Closed,Black
Logitech PRO X 2 LIGHTSPEED,209.98,Circumaural,"20,20",true,true,Closed,White
Corsair VOID RGB ELITE,69.99,Circumaural,"20,30",true,true,Closed,White
Beyerdynamic DT 770 PRO,169.99,Circumaural,"5,35",false,false,Closed,Gray
SteelSeries Arctis Nova 1,49,Circumaural,"20,22",true,false,Closed,Black
Razer BlackShark V2 Pro (2023),168.99,Circumaural,"12,28",true,true,Closed,Black
Logitech Pro X,98.92,Circumaural,"20,20",true,false,Closed,Black
Logitech ASTRO A50 X,337.98,Circumaural,"20,20",true,true,Closed,Black
Logitech G432,37.01,Circumaural,"20,20",true,false,Closed,Black / Blue
Sony XM5,398,Circumaural,"4,40",true,true,Closed,Black
HP HyperX Cloud III,119.94,Circumaural,"10,21",true,true,Closed,Black
Sennheiser HD 820,1999.95,Circumaural,"6,48",false,false,Closed,Black
Razer Kraken V4 Pro,369.55,Circumaural,"20,28",true,true,Closed,Black
SteelSeries Arctis Nova 7,159.99,Circumaural,"20,22",true,true,Closed,Black
Corsair VOID RGB ELITE,69.98,Circumaural,"20,30",true,true,Closed,Black
Logitech ASTRO A50 X,349.99,Circumaural,"20,20",true,true,Closed,White
Yamaha EPH-20PI,4.99,In Ear,"20,21",false,false,Closed,Black / Pink
Asus ROG Delta II,209.99,Circumaural,"20,20",true,true,Closed,Black
Beyerdynamic DT990 Premium Limited-Edition,179.99,Circumaural,"5,35",false,false,Open,Black
Logitech G733,108.9,Circumaural,"20,20",true,true,Closed,Black
Logitech G733,120.37,Circumaural,"20,20",true,true,Closed,White / Gray
Corsair Virtuoso RGB,139.99,Circumaural,"20,40",true,true,Closed,White
HP HyperX Cloud Alpha,77.98,Circumaural,"13,27",true,false,Closed,Black / Red
Beyerdynamic DT 990 Pro 250,,Circumaural,"5,35",false,false,Open,Black / Gray
HP HyperX Cloud Alpha,149.93,Circumaural,"15,21",true,true,Closed,Black / Red
Razer Kraken V3 X,39.97,Circumaural,"12,28",true,false,Closed,Black
HiFiMAN HE1000 Stealth,1199,Circumaural,"8,65",false,false,Open,Silver / Brown
Razer Barracuda X,79.98,Circumaural,"20,20",true,true,Closed,Black
Sennheiser HD 800 S,1599.95,Circumaural,"4,51",false,false,Open,Black / Silver
SteelSeries Arctis Pro,204.48,Circumaural,"10,40",true,true,Closed,Black
HP HyperX Cloud Stinger 2 Core,34.99,Circumaural,"10,25",true,false,Closed,Black
Beyerdynamic DT1990 Pro,399.99,Circumaural,"5,40",false,false,Open,Black
Logitech Pro X,129.49,Circumaural,"20,20",true,true,Closed,Black
Sennheiser HD 560S,179.95,Circumaural,"6,38",false,false,Open,Black
Corsair VIRTUOSO MAX,249.99,Circumaural,"20,40",true,true,Closed,Black
SteelSeries Arctis Nova 1,49.99,Circumaural,"20,22",true,false,Closed,White
Razer Barracuda X,99.99,Circumaural,"20,20",true,true,Closed,White / Gray
SteelSeries Arctis Nova 5,109.12,Circumaural,"20,22",true,true,Closed,Black
Razer Barracuda Pro,199.99,Circumaural,"20,20",true,true,Closed,Black
Logitech G735,199.99,Circumaural,"20,20",true,true,Closed,White
Audio-Technica ATH-M50x,149,Circumaural,"15,28",false,false,Closed,Black / Silver
HP HyperX Cloud II,79.98,Circumaural,"15,20",true,true,Closed,Black / Red
HP HyperX CloudX,49.99,Circumaural,"15,25",true,false,Closed,Black / Silver
Audeze Maxwell for Xbox Series X|S,296.75,Circumaural,"10,50",true,true,Closed,Black / Green
Turtle Beach EAR FORCE Recon 50X,28.98,Circumaural,"20,20",true,false,Closed,Black / Green
Corsair HS80 RGB,119.99,Circumaural,"20,40",true,true,Closed,Black
Razer Kraken Kitty,249.99,Circumaural,"20,20",true,false,Closed,Pink
Razer BlackShark V2 Pro (2023),179,Circumaural,"12,28",true,true,Closed,White / Black
HiFiMAN HE1000,1999,Circumaural,"8,65",false,false,Open,Silver / Brown
Astro A50 + Base Station,234.21,Circumaural,"20,20",true,true,Closed,Black / Gold
Sennheiser HD 650,395,Circumaural,"10,39.5",false,false,Open,Black
Sony WH1000XM4,248,Circumaural,"20,20",true,true,Closed,Black
Philips SHP9500,79.98,Circumaural,"12,35",false,false,Open,Black
Logitech G535 LIGHTSPEED,87.98,Circumaural,"20,20",true,true,Closed,Black / Blue
HP HyperX Cloud III,119,Circumaural,"10,21",true,true,Closed,Black / Red
Thermaltake Pulse G100,11.83,Circumaural,"20,20",true,false,Closed,Black
JBL Quantum 100,39.95,Circumaural,"20,20",true,false,Closed,Black
Audeze Maxwell for PlayStation 5,294.49,Circumaural,"10,50",true,true,Closed,Black / Blue
"SteelSeries Arctis Nova Pro Wireless for PC, PS5, and PS4",294.99,Circumaural,"10,40",true,true,Closed,White / Silver
Logitech ASTRO A50 (GEN 5),293.99,Circumaural,"20,20",true,true,Closed,Black / Red
Corsair VIRTUOSO RGB Wireless XT,169.99,Circumaural,"20,40",true,true,Closed,Black / Silver
Beyerdynamic DT 900 Pro X,242.99,Circumaural,"5,40",false,false,Open,Black / Gray
Corsair HS65 SURROUND,49.99,Circumaural,"20,20",true,false,Closed,Black
Sennheiser HD 660S2,455.99,Circumaural,"8,41.5",false,false,Open,Black
SteelSeries Arctis 1,112.91,Circumaural,"20,20",true,true,Closed,Black
Corsair HS80 RGB,99.99,Circumaural,"20,40",true,false,Closed,White
Patriot V360,15.99,Circumaural,,true,false,Closed,Black / Red
DROP Drop + Sennheiser PC38X,180,Circumaural,"10,30",true,false,Open,Black
Turtle Beach Stealth 700 Gen 2 MAX,179.99,Circumaural,"20,22",true,true,Closed,Black / Silver
Syba CM-502,12.99,Circumaural,"20,20",true,false,Closed,Black / Silver
Logitech ASTRO A10,44.99,Circumaural,"20,20",true,false,Closed,Black
"SteelSeries Arctis Nova Pro Wireless for PC, PS5, and PS4",309.99,Circumaural,"10,40",true,true,Closed,White / Silver
Razer Kraken V3 Pro,126,Circumaural,"20,20",true,true,Closed,Black
Corsair Virtuoso RGB,139.99,Circumaural,"20,40",true,true,Closed,Black
Logitech G935,119.99,Circumaural,"20,20",true,true,Closed,Black / Blue
Sennheiser GSP 600,1000,Circumaural,"10,30",true,false,Closed,Black / Red
Sennheiser MOMENTUM 4,379.95,Circumaural,"6,22",true,true,Closed,White
Beyerdynamic MMX 300 (2nd Generation),243.05,Circumaural,"5,35",true,false,Closed,Black
"SteelSeries Arctis Nova Pro Wireless for Xbox X|S, and Xbox One",280,Circumaural,"10,40",true,true,Closed,Black
Asus ROG Theta 7.1,305.99,Circumaural,"20,40",true,false,Closed,Black
Sennheiser HD600,314,Circumaural,"12,39",false,false,Open,Black
HP HyperX Cloud III,65.98,Circumaural,"10,21",true,false,Closed,Black
SteelSeries Arctis Pro Wireless,449.99,Circumaural,"10,40",true,true,Closed,White
HiFiMAN SUNDARA,279,Circumaural,"6,75",false,false,Open,Black
Sennheiser MOMENTUM 4,262.99,Circumaural,"6,22",true,true,Closed,Black
Razer BlackShark V2,91.51,Circumaural,"12,28",true,false,Closed,Black / Green
Beyerdynamic DT 770 PRO X Limited Edition,199.99,Circumaural,"5,40",false,false,Closed,Black / Gray
HP HyperX Cloud Stinger 2,35.99,Circumaural,"10,28",true,false,Closed,Black
Beyerdynamic DT 1770 PRO,369.99,Circumaural,"5,40",false,false,Closed,Black
SteelSeries Arctis Nova 3,79.98,Circumaural,"20,22",true,false,Closed,Black
Sony XM5,398,Circumaural,"4,40",true,true,Closed,Silver
Corsair HS80 MAX WIRELESS,139.99,Circumaural,"20,40",true,true,Closed,Gray / Black
JBL Quantum 910,299.95,Circumaural,"20,20",true,true,Closed,Black
SteelSeries ARCTIS 7 2019 Edition,204.99,Circumaural,"20,20",true,true,Closed,Black
Astro Gaming A40 TR + MixAmp Pro TR,,Circumaural,"20,20",true,false,Closed,Black / Gold
SteelSeries Arctis 7,,Circumaural,"20,20",true,true,Closed,Black
HP HyperX Cloud Alpha S,129,Circumaural,"13,27",true,false,Closed,Black
Turtle Beach Recon 50,24.95,Circumaural,,true,false,Closed,Black / Red
Logitech G335,44.9,Circumaural,"20,20",true,false,Closed,Black / Blue
Asus ROG Delta,139.99,Circumaural,"20,40",true,false,Closed,Black / Silver
HP HyperX Cloud III,59.99,Circumaural,"10,21",true,false,Closed,Black / Red
Logitech G PRO,,Circumaural,"20,20",true,false,Closed,Black
Sennheiser HD 598,498.88,Circumaural,"12,38.5",false,false,Open,Brown
Turtle Beach Recon 50P,28.98,Circumaural,"20,20",true,false,Closed,Black / Blue
HP HyperX Cloud Stinger Core - Wireless,79.98,Circumaural,"10,21",true,true,Closed,Black
Panasonic RP-HJE125-A,9.99,Earbud,,false,false,Closed,Blue
HiFiMAN RE2000 24k Gold Edition,2000,In Ear,"5,20",false,false,Closed,Black / Gold
Anker Soundcore Life Q30,55.99,Circumaural,"16,40",true,true,Closed,Black
Razer Kraken X,80.55,Circumaural,"12,28",true,false,Closed,Black
Audeze LCD-GX,899,Circumaural,"10,50",true,false,Open,Black / Red
Razer BlackShark V2 Pro,,Circumaural,"12,28",true,true,Closed,Black
EPOS H6PRO,85.99,Circumaural,"20,20",true,false,Closed,Black / Blue
Razer Kraken V4,179.99,Circumaural,"20,28",true,true,Open,Black
Razer Kraken BT - Kitty Edition,99.99,Circumaural,"20,20",true,true,Closed,Pink / White
Sennheiser HD 599,139.99,Circumaural,"12,38.5",false,false,Open,White / Brown
Logitech ASTRO A50 (GEN 5),273.57,Circumaural,"20,20",true,true,Closed,White / Red
Apple AirPods Pro 2nd Gen MagSafe USB-C,224.99,In Ear,,true,true,Closed,White
Audio-Technica ATH-M50xSTS StreamSet USB,229,Circumaural,"15,28",true,false,Closed,Black / Silver
SteelSeries Arctis Pro + GameDAC,162.91,Circumaural,"10,40",true,false,Closed,Black
MSI Immerse GH20,24.99,Circumaural,"29,20",true,false,Closed,Black
Razer BlackShark V2 HyperSpeed,99,Circumaural,"12,28",true,false,Closed,Black
Bose QuietComfort 35 Series II,369,Circumaural,,true,true,Closed,Black
Asus TUF Gaming H1,34.99,Circumaural,"20,20",true,false,Closed,Black
SteelSeries Arctis Nova Pro,196.99,Circumaural,"10,40",true,false,Closed,Black
Corsair HS35 v2,29.99,Circumaural,,true,false,Closed,Black
Sony MDR-7506,98,Circumaural,"10,20",false,false,Closed,Black
Final D8000,3799,Circumaural,,false,false,Closed,Black / Silver
Cooler Master MH670,129.97,Circumaural,"15,25",true,true,Closed,Black
Skullcandy Crusher,,Circumaural,"20,20",false,true,Closed,Black
Apple AirPods Max (2024),499.99,Circumaural,,true,true,Closed,Black
Apple MD827LL/A,22.48,Earbud,,true,false,Closed,White
Asus TUF Gaming H1 Wireless,89.99,Circumaural,"20,20",true,true,Closed,
Creative Labs Zen Hybrid,37.99,Circumaural,"20,20",true,true,Closed,White
Cyber Acoustics ACM-70B,16.99,Supra-aural,"20,20",false,false,Closed,Black
Audio-Technica ATH-M20X,49,Circumaural,"15,20",false,false,Closed,Black / Silver
Corsair HS70 PRO,79.98,Circumaural,"20,20",true,true,Closed,Black
Corsair VIRTUOSO MAX,249.99,Circumaural,"20,40",true,true,Closed,Silver
Audio-Technica ATH-M40x,99,Circumaural,"15,24",false,false,Closed,Black / Silver
Genius HS-02B,5.58,Supra-aural,"20,20",true,false,Closed,Black / Silver
SteelSeries Arctis Nova 7X,127.5,Circumaural,"20,22",true,true,Closed,Black / Green
Sony WH-1000XM3,299.99,Circumaural,"4,40",true,true,Closed,Silver
Corsair Virtuoso RGB SE,229.99,Circumaural,"20,40",true,true,Closed,Black
Audio-Technica ATH-AD2000X,607.41,Circumaural,"5,45",false,false,Open,Black
Corsair HS80 RGB,99.99,Circumaural,"20,40",true,false,Closed,Black
Logitech G435,,Circumaural,"20,20",true,true,Closed,White / Blue
Razer Kraken BT - Hello Kitty and Friends Edition,98.98,Circumaural,"20,20",true,true,Closed,Pink / White
SteelSeries Arctis Nova 1P,49.99,Circumaural,"20,22",true,false,Closed,White
Koss KSC75,19.98,Supra-aural,,false,false,Closed,Black / Silver
Philips SHP9600/00,69.9,Circumaural,"12,35",false,false,Open,Black / Copper
JBL Quantum One,299.95,Circumaural,"20,20",true,false,Closed,Black
SteelSeries Arctis Nova 7,159.99,Circumaural,"20,22",true,true,Closed,White / Black
Audio-Technica ATH-G1WL,228.39,Circumaural,"5,40",true,true,Closed,Black
Corsair HS55,79.99,Circumaural,"20,20",true,true,Closed,White
JBL Quantum 100,39.95,Circumaural,"20,20",true,false,Closed,White
Razer Kraken V3 HyperSense,129.99,Circumaural,"20,20",true,false,Closed,Black
Sennheiser HD6XX,259,Circumaural,"10,41",false,false,Open,Black
Sennheiser HD 599 SE,199.95,Circumaural,"12,38.5",false,false,Open,Black / Silver
Logitech H390,21.99,Supra-aural,"20,20",true,false,Closed,Black / Silver
Creative Labs Zen Air,17.98,In Ear,"20,20",true,true,Closed,White
Corsair HS80 MAX WIRELESS,139.99,Circumaural,"20,40",true,true,Closed,White / Gray
MSI Immerse GH30 V2,24.99,Circumaural,"29,20",true,false,Closed,Black
Astro A50 + Base Station,248,Circumaural,"20,20",true,true,Closed,Black / Gray
Sennheiser GAME ONE,136,Circumaural,"15,28",true,false,Open,Black / White
Sennheiser HD 280 PRO,89.9,Circumaural,"8,25",false,false,Closed,Black
Razer Kraken Kitty V2 Pro,149,Circumaural,"20,20",true,false,Closed,Pink / Gray
Turtle Beach Atlas Air,179.99,Circumaural,"20,40",true,true,Closed,Black
NZXT Relay,88.38,Circumaural,"20,40",true,false,Closed,Black / Purple
SteelSeries Arctis Nova 5x,109.99,Circumaural,"20,22",true,true,Closed,Black / Green
Rosewill SAROS C740S,32.4,Circumaural,"20,20",true,true,Closed,Black / Silver
SteelSeries Arctis 7P,215,Circumaural,"20,20",true,true,Closed,White / Blue
Philips Fidelio X2HR/00,219.95,Circumaural,"5,40",false,false,Open,Black
Asus ROG Strix Go,199.99,Circumaural,"20,40",true,true,Closed,Black
Adesso Xtream G1,20.01,Circumaural,"20,20",true,false,Closed,Black / Blue
Logitech G733,129.99,Circumaural,"20,20",true,true,Closed,Purple
Logitech G533,,Circumaural,,true,true,Closed,Black
Audio-Technica ATH-R70X,345,Circumaural,"5,40",false,false,Open,Black
Corsair Virtuoso Pro,149.99,Circumaural,"20,40",true,false,Open,Black
Sony MDRE9LP/BLU,,Earbud,"18,22",false,false,Closed,Blue / White
Audio-Technica ATH-SR50BTBK,337.99,Circumaural,"5,40",true,true,Closed,Black
HiFiMAN Arya,599,Circumaural,"8,65",false,false,Open,Black
Superlux HD668B,49,Circumaural,"10,30",false,false,Semi-open,Black
Beyerdynamic DT 990,169.99,Circumaural,"5,35",false,false,Open,Black / Silver
Beyerdynamic DT 700 PRO X,269.29,Circumaural,"5,40",false,false,Closed,Black
Astro Gaming A10,39.99,Circumaural,"20,20",true,false,Closed,Black / Blue
HiFiMAN HE400SE,109,Circumaural,"20,20",false,false,Open,Black / Silver
Razer Kraken Tournament Edition,,Circumaural,"12,28",true,false,Closed,Black
Razer Kraken Ultimate,184.99,Circumaural,"20,20",true,false,Closed,Black
Audio-Technica ATH-IM04,939.45,In Ear,"15,20",false,false,Closed,Black
Sennheiser HD 490 PRO,399,Circumaural,,false,false,Open,Black
Asus TUF Gaming H3,39.99,Circumaural,"20,20",true,false,Closed,Black / Gray
SteelSeries Arctis Nova Pro X,199.99,Circumaural,"10,40",true,false,Closed,Black
Adesso Xtream H5,15.98,Circumaural,"20,20",true,false,Closed,Black
Logitech G35,448.98,Circumaural,"20,20",true,false,Closed,Black
Logitech ASTRO A30 LIGHTSPEED (Xbox/PC),159.47,Circumaural,"20,20",true,true,Closed,White
SteelSeries Arctis 9,205.29,Circumaural,"20,20",true,true,Closed,Black
Gear Head AU1200M,8,Supra-aural,,true,false,Closed,Black
Sennheiser RS 175,219.95,Circumaural,"17,22",false,true,Closed,Black / Silver
MSI MAESTRO 300,31.35,Circumaural,"50,15",true,false,Closed,Black
Logitech H110,,Supra-aural,"20,20",true,false,Closed,Black / Silver
Logitech G PRO,129.99,Circumaural,"20,20",true,false,Closed,Black
SteelSeries Arctis 5,186.88,Circumaural,"20,22",true,false,Closed,Black
Audio-Technica ATH-M50xBT,215,Circumaural,"15,28",true,true,Closed,Black / Silver
Sony INZONE H9,298,Circumaural,"5,20",true,true,Closed,
Asus ROG CETRA II,79.98,In Ear,"20,40",true,false,Closed,Black
Corsair HS55 WIRELESS CORE,,Circumaural,"20,20",true,true,Closed,Black
Razer Barracuda X,79.98,Circumaural,"20,20",true,true,Closed,Pink / Gray
Razer NARI ULTIMATE,,Circumaural,"20,20",true,true,Closed,Black / Green
Astro A50 Xbox 4th Gen + Base Station,,Circumaural,"20,20",true,true,Closed,Black
Gigabyte Aorus H5,103.9,Circumaural,"20,20",true,false,Closed,Black / Orange
Sony WH-1000XM3,,Circumaural,"4,40",true,true,Closed,Black
Beyerdynamic TYGR 300 R,179.99,Circumaural,"5,35",false,false,Open,Black
Audio-Technica ATH-M50xWH,169,Circumaural,"15,28",false,false,Closed,White
Cyber Acoustics AC-104,11.99,Supra-aural,,true,false,Closed,Black
JBL Quantum 300,79.95,Circumaural,"20,20",true,false,Closed,Black
Astro A40 + MIXAMP Pro,,Circumaural,"20,20",true,false,Closed,Black
HP HyperX Cloud Alpha S,129.99,Circumaural,"13,27",true,false,Closed,Blue / Black
Sennheiser GAME ZERO,84.99,Circumaural,"10,26",true,false,Closed,Black / Red
Sennheiser MOMENTUM 4,262.99,Circumaural,"6,22",true,true,Closed,Copper / Black
NZXT Relay,99,Circumaural,"20,40",true,false,Closed,White / Black
Corsair Virtuoso Pro,149.99,Circumaural,"20,40",true,false,Open,White
Moondrop ARIA,,In Ear,"5,36",false,false,Closed,Black
Audio-Technica ATH-TWX7,189.99,Earbud,"10,40",true,true,Closed,Gray
HP HyperX Cloud Stinger,,Circumaural,"18,23",true,false,Closed,Black / Red
Logitech PRO X 2 LIGHTSPEED,249.99,Circumaural,"20,20",true,true,Closed,Pink
Razer Kraken Kitty,,Circumaural,"20,20",true,false,Closed,Black / Green
Razer BlackShark V2 HyperSpeed,109.99,Circumaural,"12,28",true,false,Closed,White / Black
Sennheiser HD 660 S,,Circumaural,"10,41",false,false,Open,Black
Razer Kraken V4 X,79.98,Circumaural,"20,20",true,false,Open,Black
Creative Labs Sound Blaster Blaze V2,24.16,Circumaural,"20,20",true,false,Closed,Black
MSI Immerse GH50,69.98,Circumaural,"100,10",true,true,Closed,Black
JBL Quantum 400,99.95,Circumaural,"20,20",true,false,Closed,Black
Razer Kraken 7.1 V2,210,Circumaural,"12,28",true,false,Closed,Black / Green
Sennheiser ‎‎‎HD 450BT Black,94.95,Circumaural,"18,22",true,true,Closed,Black / Gray
SteelSeries Arctis Nova 7P,149.99,Circumaural,"20,22",true,true,Closed,White / Blue
Logitech FITS,109.99,In Ear,"20,20",true,true,Closed,White
SteelSeries Arctis 1,,Circumaural,"20,20",true,false,Closed,Black
SteelSeries ARCTIS 5 (2019),189.99,Circumaural,"20,22",true,false,Closed,Black
MSI IMMERSE GH,76.54,Circumaural,"20,20",true,false,Closed,Black / Red
Corsair HS55,79.98,Circumaural,"20,20",true,true,Closed,Black
Bose QuietComfort 35 Series II,403.99,Circumaural,,true,true,Closed,Silver
Razer Kraken V3,99.99,Circumaural,"20,20",true,false,Closed,Black
Microsoft Xbox WH,,Circumaural,"20,20",true,true,Closed,Black / Green
DROP Drop + Sennheiser PC38X,,Circumaural,"10,30",true,false,Open,Black / Yellow
Razer NARI ESSENTIAL,139.99,Circumaural,"20,20",true,true,Closed,Black
Syba CL-AUD63035,13.99,Circumaural,"20,20",true,false,Closed,Blue / White
Asus ROG Delta White Edition,,Circumaural,"20,40",true,false,Closed,White
HP HyperX Cloud Stinger Core - Wireless PS5/PS4,70.67,Circumaural,"10,21",true,true,Closed,White / Blue
Anker Soundcore Life Q20,,Circumaural,"16,40",true,true,Closed,Black
HP HyperX Cloud II,,Circumaural,"15,25",true,false,Closed,Gunmetal
Sennheiser HD 569,129.94,Circumaural,"10,28",true,false,Closed,Black
Logitech G930,289.97,Circumaural,"20,20",true,true,Closed,Black / Red
Cyber Acoustics ACM-500RB,24.99,Circumaural,,false,false,Closed,Black
Apple AirPods Max,599,Circumaural,,true,true,Closed,Black
Logitech G933 Artemis Spectrum,,Circumaural,"20,20",true,true,Closed,Black / Blue
EKSA E900 PRO,49.99,Circumaural,"20,20",true,false,Closed,Black / Red
Plantronics Rig 800HD,,Circumaural,"20,20",true,true,Open,Black / Gold
SteelSeries Arctis Prime,59.99,Circumaural,"10,40",true,false,Closed,Black
Razer Kraken V3 X,67.27,Circumaural,"12,28",true,false,Closed,Black
Sades SA-708,13.52,Circumaural,,true,false,Closed,Black / Green
AKG K701,185.25,Circumaural,"10,39.8",false,false,Open,White
Beyerdynamic T 5 p,977.3,Circumaural,"5,50",false,false,Closed,Black / Silver
Logitech ASTRO A10,48.99,Circumaural,"20,20",true,false,Closed,Gray
Asus ROG CENTURION,,Circumaural,,true,false,Closed,Black
Corsair VOID ELITE SURROUND,,Circumaural,"20,30",true,false,Closed,Black
Razer Barracuda,128,Circumaural,"20,20",true,true,Closed,Black
GALAX HOF Maestro Matte,39.99,Circumaural,"20,20",true,false,Closed,White
Logitech ASTRO A40 TR,129.99,Circumaural,"20,20",true,false,Closed,Black / Red
Asus ROG Strix Go Core,77.41,Circumaural,"20,40",true,false,Closed,Black
Apple AirPods Max,489,Circumaural,,true,true,Closed,Silver
HiFiMAN HE1000se,1699,Circumaural,"8,65",false,false,Open,Silver / Brown
SteelSeries Arctis Nova 5p,96.99,Circumaural,"20,22",true,true,Closed,Black / Blue
HP HyperX Cloud Flight,,Circumaural,"15,23",true,true,Closed,Black / Red
Razer Kraken 7.1 V2 Mercury Edition,,Circumaural,"12,28",true,false,Closed,White
Razer NARI,,Circumaural,"20,20",true,true,Closed,Black / Green
Sennheiser GSP 670,104.99,Circumaural,"10,23",true,true,Closed,Black
Logitech G335,37.99,Circumaural,"20,20",true,false,Closed,White / Blue
Adesso Xtream P500,31.48,Circumaural,"20,20",true,true,Closed,Black
MSI DS502,44.99,Circumaural,"20,20",true,false,Closed,Black / Red
Razer Kraken (2019),121.98,Circumaural,"12,28",true,false,Closed,Black
Corsair HS55 STEREO,69.98,Circumaural,"20,20",true,false,Closed,Black
Denon AH-D9200EM,1599,Circumaural,"5,56",false,false,Closed,Brown / Black
Sennheiser DROP Massdrop x Sennheiser PC37X,,Circumaural,"15,28",true,false,Open,Black
Astro A20 Gen 2,89.99,Circumaural,"20,20",true,true,Closed,Black / Green
Yamaha EPH-20 Pink,4.99,In Ear,"20,21",false,false,Closed,Black / Pink
"SteelSeries Arctis Nova Pro Wireless for Xbox X|S, and Xbox One",309.99,Circumaural,"10,40",true,true,Closed,White / Silver
Sony INZONE H5,148,Circumaural,"5,20",true,true,Closed,White
Logitech H150,16.98,Supra-aural,,true,false,Closed,Black / White
Audio-Technica ATH-M30x,69,Circumaural,"15,22",false,false,Closed,Black / Silver
HP HyperX Cloud Flight S,,Circumaural,"10,22",true,true,Closed,Black / Silver
Asus ROG Delta S EVA Edition,189.87,Circumaural,"20,40",true,false,Closed,Purple / Green
SteelSeries Arctis Nova 7P,159.99,Circumaural,"20,22",true,true,Closed,Black / Blue
HP HyperX CloudX Stinger Core - Xbox,32.95,Circumaural,"20,20",true,false,Closed,Black / Green
Corsair HS65 SURROUND,51.98,Circumaural,"20,20",true,false,Closed,White / Gray
Final VR3000 for Gaming,79,In Ear,,false,false,Closed,Black
Logitech ASTRO A30 LIGHTSPEED (Playstation/PC),149.99,Circumaural,"20,20",true,true,Closed,White
SteelSeries Arctis Nova 1P,49.99,Circumaural,"20,22",true,false,Closed,Black
Philips SHE7000WT/28,5.99,In Ear,"8,23.5",false,false,Closed,Pink / White
Sony ZX110 (Black),18.91,Supra-aural,"12,22",true,false,Closed,Black
JBL Quantum 200,59.95,Circumaural,"20,20",true,false,Closed,Black
Sennheiser M3AEBTXL,399.99,Circumaural,"6,22",false,true,Closed,White / Silver
SteelSeries Arctis 3,,Circumaural,"20,22",true,false,Closed,Black
Corsair VOID PRO RGB (Black),,Circumaural,"20,20",true,true,Closed,Black
SteelSeries Arctis 7,,Circumaural,"20,20",true,true,Closed,White / Black
Audeze Penrose X,399.99,Circumaural,"10,50",true,true,Closed,Black / Green
Astro A20 Gen 2,89.99,Circumaural,"20,20",true,true,Closed,Black / Blue
SteelSeries ARCTIS 7 2019 Edition,219.99,Circumaural,"20,20",true,true,Closed,White / Black
AKG K702,179.95,Circumaural,"10,39.8",false,false,Open,Black / Silver
HP HyperX Cloud Revolver S,,Circumaural,"12,28",true,false,Closed,Silver
Sony INZONE H3,98,Circumaural,"10,20",true,false,Closed,White / Black
Sennheiser MOMENTUM 4,277.99,Circumaural,"6,22",true,true,Closed,Gray
SteelSeries Siberia v2,197.88,Circumaural,"18,28",true,false,Closed,White
Astro Gaming A10,69.9,Circumaural,"20,20",true,false,Closed,Black / Green
Samsung Buds2 Pro,105.99,In Ear,,true,true,Closed,White
Logitech ASTRO A50 + Base Station,,Circumaural,"20,20",true,true,Closed,Black / Gray
Astro A40 TR,,Circumaural,"20,24",true,false,Open,Black
Razer Barracuda X (2021),119.99,Circumaural,"20,20",true,true,Closed,Black
Audio-Technica ATH-AD500X,72.98,Circumaural,"5,25",false,false,Open,Black
Anker Soundcore Life Q20,43.98,Circumaural,"16,40",true,true,Closed,Silver
Beyerdynamic DT 880 Pro,199.99,Circumaural,"5,35",false,false,Semi-open,Gray
Meze Audio 99 Neo,199,Circumaural,"15,25",false,false,Closed,Black
Razer Kraken (2019),119.99,Circumaural,"12,28",true,false,Closed,Green / Black
Bose QC35,,Circumaural,,true,true,Closed,Black
Audio-Technica ATH-AD900x,170.71,Circumaural,"5,35",false,false,Open,Black
SteelSeries Arctis Nova Pro Wireless for PS5 and PS4,269.99,Circumaural,"10,40",true,true,Closed,Black
Cyber Acoustics AC-204,12.08,Supra-aural,,true,false,Closed,Black
SteelSeries Arctis Pro,249.99,Circumaural,"10,40",true,false,Closed,Black
Audio-Technica SonicFuel CLR100iS,14.99,In Ear,"20,25",true,false,Closed,Black
Anker Soundcore Life Q30,55.99,Circumaural,"16,40",true,true,Closed,Pink
Beyerdynamic MMX 100,,Circumaural,"5,30",true,false,Closed,Black
Panasonic RP-HJE125-W,9.99,Earbud,"10,24",false,false,Closed,
Logitech G935,119.99,Circumaural,"20,20",true,true,Closed,Black
Logitech ASTRO A50 + Base Station,249.99,Circumaural,"20,20",true,true,Closed,Black / Gold
HP HyperX Cloud Stinger,,Circumaural,"20,20",true,true,Closed,Black
Sennheiser M3AEBTXL,299.89,Circumaural,"6,22",false,true,Closed,Black / Silver
Razer Opus,,Circumaural,"20,20",true,true,Closed,Black
Razer Hammerhead Pro v2,78.42,In Ear,"50,10",true,false,Closed,Black / Green
Astro Gaming A10,48.99,Circumaural,"20,20",true,false,Closed,Black / Red
Skullcandy Hesh 3,,Circumaural,"20,20",true,true,Closed,Black
Focal Clear,,Circumaural,"5,28",false,false,Open,Gray
Asus ROG Strix Go Electro Punk,109.88,Circumaural,"20,40",true,false,Closed,Black / Pink
